Instrument Serial Num,Reading_No,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,Ba Compound,Ba Compound Level,Ba Compound Error,Ba Concentration,Ba Error1s,La Compound,La Compound Level,La Compound Error,La Concentration,La Error1s,Ce Compound,Ce Compound Level,Ce Compound Error,Ce Concentration,Ce Error1s,Pr Compound,Pr Compound Level,Pr Compound Error,Pr Concentration,Pr Error1s,Nd Compound,Nd Compound Level,Nd Compound Error,Nd Concentration,Nd Error1s,Ta Compound,Ta Compound Level,Ta Compound Error,Ta Concentration,Ta Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,,Real Time 1,Real Time 2,Real Time 3
803819,21,26/08/2019,10:26:18,Soil,,21,No,,,PPM,,,,760,195,,,,2076,54,,,,43434,140,,,,3239,24,,,,52,2,,,,7,0,,,,15,1,,,,135,2,,,,254,6,,,,-13,2,,,,-6,1,,,,-3,1,,,,3,1,,,,-1,0,,,,-3,0,,,,17,0,,,,50,4,,,,-1,2,,,,3,2,,,,-1,1,,,,-1,4,,,,-4,3,,,,-2,3,,,,-24,6,,,,-1,6,,,,152,17,,,,-24,34,,,,-115,68,,,,-160,87,,,,-175,188,,,,-2,16,,,,-8,1,,,,-3,1,,,,2,1,,,,-39,2,,,,-5,4,,,,8,5,20,30,30,30
803819,22,26/08/2019,10:28:09,Soil,,22,No,,,PPM,,,,473,158,,,,947,38,,,,27801,95,,,,1908,18,,,,27,1,,,,4,0,,,,18,1,,,,102,1,,,,176,5,,,,-14,2,,,,-10,1,,,,-4,1,,,,1,1,,,,-2,0,,,,-2,0,,,,20,0,,,,21,3,,,,2,2,,,,4,2,,,,-1,1,,,,-2,3,,,,0,3,,,,-4,3,,,,-11,6,,,,-7,6,,,,106,16,,,,-19,33,,,,82,66,,,,-73,84,,,,-116,181,,,,3,16,,,,-9,1,,,,-3,1,,,,2,1,,,,-40,2,,,,4,4,,,,4,5,21,30,30,30
803819,23,26/08/2019,10:29:58,Soil,,23,No,,,PPM,,,,549,157,,,,1292,40,,,,20616,73,,,,2933,19,,,,28,1,,,,3,0,,,,12,1,,,,58,1,,,,190,5,,,,-16,2,,,,-8,1,,,,-2,1,,,,1,1,,,,-2,0,,,,-2,0,,,,14,0,,,,40,3,,,,-4,2,,,,0,2,,,,1,1,,,,-4,3,,,,-2,3,,,,1,3,,,,-24,6,,,,-6,6,,,,106,15,,,,-15,32,,,,-46,64,,,,-93,81,,,,21,175,,,,-4,14,,,,-10,1,,,,-5,1,,,,2,1,,,,-40,2,,,,-2,4,,,,-2,4,22,30,30,30
803819,24,26/08/2019,10:31:47,Soil,,24,No,,,PPM,,,,257,157,,,,515,31,,,,24502,82,,,,3653,21,,,,43,1,,,,5,0,,,,10,1,,,,53,1,,,,172,5,,,,-15,2,,,,-8,1,,,,-3,1,,,,1,1,,,,-2,0,,,,-3,0,,,,10,0,,,,34,3,,,,-1,2,,,,4,2,,,,3,1,,,,4,3,,,,0,2,,,,4,3,,,,-19,6,,,,0,6,,,,126,15,,,,-40,30,,,,49,61,,,,-267,78,,,,-270,169,,,,5,14,,,,-10,1,,,,-4,1,,,,2,1,,,,-40,2,,,,-1,4,,,,-5,4,23,30,30,30
803819,25,26/08/2019,10:33:34,Soil,,25,No,,,PPM,,,,66,150,,,,753,34,,,,23907,80,,,,3383,20,,,,46,1,,,,4,0,,,,13,1,,,,149,2,,,,278,6,,,,-14,2,,,,-7,1,,,,-4,1,,,,0,1,,,,-2,0,,,,-2,0,,,,15,0,,,,57,4,,,,-3,2,,,,9,2,,,,1,1,,,,0,3,,,,0,3,,,,-7,3,,,,-27,6,,,,0,6,,,,106,15,,,,-53,31,,,,-36,63,,,,-142,79,,,,161,171,,,,24,15,,,,-10,1,,,,-4,1,,,,1,1,,,,-40,2,,,,-10,3,,,,6,4,24,30,30,30
803819,26,26/08/2019,10:35:25,Soil,,26,No,,,PPM,,,,443,153,,,,899,35,,,,20122,71,,,,2838,19,,,,46,1,,,,5,0,,,,15,1,,,,199,2,,,,256,6,,,,-13,2,,,,-7,1,,,,-4,1,,,,0,1,,,,-2,0,,,,-3,0,,,,14,0,,,,49,4,,,,-1,2,,,,-1,2,,,,-1,1,,,,3,3,,,,1,3,,,,2,3,,,,-33,6,,,,-3,6,,,,122,15,,,,5,31,,,,-2,62,,,,-83,78,,,,-247,169,,,,26,16,,,,-10,1,,,,-3,1,,,,2,1,,,,-44,2,,,,5,4,,,,0,4,25,30,30,30
803819,27,26/08/2019,10:37:13,Soil,,27,No,,,PPM,,,,477,161,,,,1006,37,,,,28335,91,,,,3211,20,,,,69,2,,,,8,0,,,,13,1,,,,299,2,,,,395,6,,,,-14,2,,,,-6,1,,,,-4,1,,,,-1,1,,,,-2,0,,,,-3,0,,,,32,0,,,,53,3,,,,-3,2,,,,4,2,,,,0,1,,,,0,3,,,,-1,2,,,,-2,3,,,,-31,6,,,,11,6,,,,132,14,,,,-28,29,,,,-5,59,,,,-34,75,,,,62,162,,,,9,13,,,,-9,1,,,,-5,1,,,,2,1,,,,-37,1,,,,-6,3,,,,7,4,26,30,30,30
803819,28,26/08/2019,10:39:01,Soil,,28,No,,,PPM,,,,1555,221,,,,1652,50,,,,48325,154,,,,4195,27,,,,61,2,,,,6,0,,,,16,1,,,,218,2,,,,415,7,,,,-13,2,,,,-8,1,,,,-2,1,,,,5,1,,,,-3,0,,,,-2,0,,,,28,1,,,,42,4,,,,4,2,,,,5,2,,,,1,2,,,,-4,3,,,,-1,3,,,,-2,3,,,,-19,6,,,,-11,6,,,,105,17,,,,-30,34,,,,-148,68,,,,-249,86,,,,90,186,,,,16,17,,,,-7,1,,,,-5,1,,,,3,1,,,,-38,2,,,,-4,4,,,,0,5,27,30,30,30
803819,29,26/08/2019,10:40:50,Soil,,29,No,,,PPM,,,,509,144,,,,1001,35,,,,25608,82,,,,1897,16,,,,35,1,,,,4,0,,,,7,1,,,,66,1,,,,156,4,,,,-16,2,,,,-8,1,,,,-4,1,,,,3,1,,,,-2,0,,,,-2,0,,,,15,0,,,,40,3,,,,0,2,,,,3,2,,,,1,1,,,,2,3,,,,-5,2,,,,-3,3,,,,-24,6,,,,-8,6,,,,113,15,,,,-3,30,,,,64,61,,,,-1,78,,,,-233,167,,,,7,14,,,,-9,1,,,,-4,1,,,,3,1,,,,-35,1,,,,1,4,,,,-1,4,28,30,30,30
803819,30,26/08/2019,10:42:39,Soil,,30,No,,,PPM,,,,2114,479,,,,1377,76,,,,27060,126,,,,24493,102,,,,3030,17,,,,93,2,,,,61,2,,,,676,5,,,,28196,104,,,,-37,17,,,,33,2,,,,128,3,,,,423,4,,,,113,5,,,,1,1,,,,122,1,,,,239,5,,,,26,3,,,,273,5,,,,19,1,,,,4,2,,,,6,2,,,,49,2,,,,11,4,,,,29,4,,,,504,13,,,,19,23,,,,172,47,,,,-402,62,,,,-19,138,,,,38,12,,,,10,3,,,,10,2,,,,1439,7,,,,-1,2,,,,16,3,,,,2,3,29,30,30,30
