TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
01077Y,M76-79,Aug 22-24,ST50PKT0WC4H,ST50GEN01077Y,Straw,NA,430,632,27793,2710,23,4,13,61,90,-14,-5,-2,-1,-2,-2,14,26,5,0,1,2,-1,5,-36,7,136,-20,-38,-179,-156,-11,-7,-3,3,-42,-2,5,162,34,94,20,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,16,32,64,83,176,15,1,1,1,2,4,5,York,2018,114,3,30 kg P,2,57,Maringa_Spica,M76-79,York_2018,M76-79,3.674582798,15.63,304.08,91.2,0.299921073
010784,742,Aug 22-25,ST50PKT0WC4N,ST50GEN010784,Straw,NA,495,859,25699,1642,22,4,10,48,78,-11,-4,-2,2,-1,-3,10,32,1,4,0,-2,-2,2,-36,-1,120,25,7,-312,-18,9,-9,-4,1,-38,-6,13,150,36,87,16,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,63,80,173,15,1,1,1,2,4,5,York,2018,113,12,0 kg P,2,57,BT 4-Way MAGIC,CAV4080742,York_2018,CAV4080742,2.225328947,9.81,148.78,47.4,0.318591208
01078D,1192,Aug 22-26,ST50PKT0WC4S,ST50GEN01078D,Straw,NA,-32,750,24154,2594,48,7,13,95,163,-14,-5,1,2,-2,-2,12,48,4,0,0,-4,0,-1,-22,5,117,-65,-57,-277,41,34,-7,-4,2,-36,-4,5,141,33,81,18,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,62,78,170,16,1,1,1,2,4,4,York,2018,113,8,0 kg P,2,57,BT 4-Way MAGIC,CAV4081192,York_2018,CAV4081192,2.373614958,8.18,133.25,54.6,0.409756098
0108FZ,496,Aug 22-27,ST50PKT0WCSH,ST50GEN0108FZ,Straw,NA,897,942,27581,3306,52,8,14,51,165,-11,-6,-2,1,-2,-3,18,46,2,3,2,4,-1,-2,-11,8,161,35,5,-56,-435,-9,-8,-3,2,-40,-4,6,175,38,92,21,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,31,63,82,175,14,1,1,1,2,4,5,York,2018,66,5,0 kg P,1,33,BT 4-Way MAGIC,CAV4080496,York_2018,CAV4080496,3.582393484,12.2,189.89,71.1,0.3744273
0108NR,1255,Aug 22-28,ST50PKT0WCRC,ST50GEN0108NR,Straw,NA,785,690,28604,3841,42,6,13,89,163,-11,-6,-1,1,-3,-2,11,48,-1,2,1,-4,3,3,-20,5,123,10,15,-184,203,6,-8,-4,3,-37,1,0,174,34,93,22,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,63,80,174,15,1,1,1,2,4,4,York,2018,61,10,0 kg P,1,31,BT 4-Way MAGIC,CAV4081255,York_2018,CAV4081255,2.370065789,9.89,150.71,61.1,0.405414372
01098B,1633,Aug 22-29,ST50PKT0WDBV,ST50GEN01098B,Straw,NA,314,1361,27712,3360,66,8,20,212,339,-12,-6,0,3,-2,-3,16,55,-2,4,0,9,0,-7,-17,-3,144,-40,-60,-143,-39,14,-7,-3,3,-43,-6,2,171,44,96,22,2,0,1,2,7,2,1,1,1,0,0,0,4,2,2,1,4,3,3,6,6,17,33,67,86,186,17,1,1,1,2,4,5,York,2018,31,7,0 kg P,1,16,BT 4-Way MAGIC,CAV4081633,York_2018,CAV4081633,2.549743261,9.27,185.45,71.1,0.38339175
0108FJ,464,Aug 22-30,ST50PKT0WCWH,ST50GEN0108FJ,Straw,NA,574,738,21824,3628,57,8,11,95,190,-15,-11,-1,0,-2,-2,10,56,-2,1,0,0,-3,0,-30,4,161,16,1,-364,-223,18,-10,-4,2,-37,-3,2,162,34,75,21,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,63,80,173,15,1,1,1,2,4,4,York,2018,66,12,0 kg P,1,33,BT 4-Way MAGIC,CAV4080464,York_2018,CAV4080464,2.246710526,9.92,233.22,88.9,0.381185147
01092J,WESTONIA,Aug 22-32,ST50PKT0WD7R,ST50GEN01092J,Straw,NA,535,953,24767,3123,48,6,16,147,205,-15,-5,-2,1,-2,-2,16,61,-2,1,1,0,-2,-3,-18,-1,99,-54,-54,-223,95,15,-8,-3,2,-42,1,-5,162,37,84,20,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,63,80,172,15,1,1,1,2,4,4,York,2018,34,11,30 kg P,1,17,MAGIC Parents,WESTONIA,York_2018,WESTONIA,5.56322208,12.63,262.26,95.4,0.363761153
01092N,828,Aug 22-33,ST50PKT0WD9F,ST50GEN01092N,Straw,NA,771,656,25294,2888,47,6,13,235,254,-17,-3,-3,2,-3,-2,16,59,0,2,-2,-3,0,0,-12,0,108,-34,27,-82,-105,-4,-10,-5,3,-39,-2,5,160,32,83,19,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,30,61,78,167,14,1,1,1,2,4,4,York,2018,34,9,30 kg P,1,17,BT 4-Way MAGIC,CAV4080828,York_2018,CAV4080828,3.644094994,13.46,270.45,79.1,0.292475504
0109JV,1018,Aug 22-34,ST50PKT0WDB4,ST50GEN0109JV,Straw,NA,440,1300,22590,3014,59,8,13,124,253,-14,-5,-2,5,-2,-3,19,71,-2,4,2,0,-1,7,-15,-10,120,12,50,24,-111,8,-7,-4,2,-40,6,-4,156,40,77,19,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,63,80,173,15,1,1,1,2,4,4,York,2018,33,1,0 kg P,1,17,BT 4-Way MAGIC,CAV4081018,York_2018,CAV4081018,2.338815789,6.92,158.29,72.3,0.456756586
