TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
0108X1,484,Aug 22-83,ST50PKT0WD02,ST50GEN0108X1,Straw,NA,520,1174,24198,3509,59,7,14,81,338,-10,-5,-2,0,-3,-3,17,48,0,6,1,0,-1,2,-33,-9,113,-101,3,-131,186,12,-9,-4,2,-39,-7,1,164,39,82,21,2,0,1,1,6,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,62,78,170,15,1,1,1,2,4,4,York,2018,48,3,0 kg P,1,24,BT 4-Way MAGIC,CAV4080484,York_2018,CAV4080484,3.06322208,9.9,220.98,88,0.398226084
0109JQ,1602,Aug 22-84,ST50PKT0WDB2,ST50GEN0109JQ,Straw,NA,149,772,26418,2230,44,6,13,183,178,-15,-6,-3,7,-2,-3,21,45,-1,2,0,-3,2,-7,-30,-4,107,-37,-38,-54,-42,23,-9,-4,2,-40,9,-1,145,34,87,18,1,0,1,2,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,62,79,170,15,1,1,1,2,4,4,York,2018,33,3,0 kg P,1,17,BT 4-Way MAGIC,CAV4081602,York_2018,CAV4081602,2.970154044,9.38,169.24,56.8,0.335618057
0108GW,166,Aug 22-85,ST50PKT0WCT0,ST50GEN0108GW,Straw,NA,594,881,28706,2713,28,4,12,66,117,-16,-7,1,-1,-2,-2,14,27,0,1,0,4,-3,-4,-35,-14,82,27,22,-295,-316,9,-10,-4,2,-39,-5,0,166,37,96,20,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,63,80,173,15,1,1,1,2,4,4,York,2018,65,3,30 kg P,1,33,BT 4-Way MAGIC,CAV4080166,York_2018,CAV4080166,5.41720154,15.88,236.23,89.6,0.379291369
0108JF,787,Aug 22-86,ST50PKT0WCRM,ST50GEN0108JF,Straw,NA,366,852,28186,4152,43,5,10,39,238,-16,-6,-2,0,-1,-2,15,57,-1,1,1,6,0,4,-21,5,123,-14,68,-14,39,28,-7,-5,0,-34,0,-3,165,35,91,23,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,14,30,60,76,164,15,1,1,1,1,4,4,York,2018,61,2,0 kg P,1,31,BT 4-Way MAGIC,CAV4080787,York_2018,CAV4080787,3.802294197,10.53,234.66,98.6,0.420182392
0108N9,1325,Aug 22-87,ST50PKT0WCR2,ST50GEN0108N9,Straw,NA,478,719,25116,3023,36,4,8,120,169,-14,-8,-2,-1,-1,-3,13,27,1,4,0,6,-1,2,-27,1,138,31,98,-100,277,10,-8,-4,0,-37,1,-4,158,34,84,20,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,30,61,77,168,14,1,1,1,2,4,4,York,2018,62,5,30 kg P,1,31,BT 4-Way MAGIC,CAV4081325,York_2018,CAV4081325,4.960839599,14.94,331.03,109.9,0.331994079
0109J8,1658,Aug 22-88,ST50PKT0WD9V,ST50GEN0109J8,Straw,NA,661,1014,30402,2959,61,8,12,210,210,-16,-8,-2,2,-2,-2,16,57,1,-1,-1,0,-1,-5,-16,-3,121,-23,-14,-111,-111,32,-9,-4,2,-37,8,3,163,37,95,20,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,30,61,77,165,15,1,1,1,1,4,4,York,2018,33,10,0 kg P,1,17,BT 4-Way MAGIC,CAV4081658,York_2018,CAV4081658,1.243421053,6.03,78.01,24.4,0.312780413
0108G5,1175,Aug 22-90,ST50PKT0WCSL,ST50GEN0108G5,Straw,NA,419,1613,31614,3598,34,3,9,97,162,-11,-6,-1,0,-2,-2,17,60,-2,4,1,0,-2,-7,-18,-8,116,86,113,-144,79,21,-9,-4,2,-34,0,0,173,46,104,23,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,62,80,173,16,1,1,1,2,4,4,York,2018,66,2,0 kg P,1,33,BT 4-Way MAGIC,CAV4081175,York_2018,CAV4081175,4.267881242,12.69,246.09,88.3,0.358811817
0109JN,1064,Aug 22-91,ST50PKT0WDB1,ST50GEN0109JN,Straw,NA,331,1118,16690,3191,49,5,11,165,215,-15,-4,-4,0,-2,-2,17,63,-2,-1,1,-2,0,2,-23,0,79,-36,-93,-309,-64,-16,-11,-4,2,-40,-5,3,149,37,61,19,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,14,29,59,76,164,13,1,1,1,2,3,4,York,2018,33,4,0 kg P,1,17,BT 4-Way MAGIC,CAV4081064,York_2018,CAV4081064,2.879554656,10.59,272.97,103.7,0.379895227
0108QR,813,Aug 22-92,ST50PKT0WCYL,ST50GEN0108QR,Straw,NA,534,1074,24155,2985,41,5,13,52,222,-16,-8,-2,0,-2,-2,10,55,-1,1,1,1,2,2,-30,-6,123,-30,-38,-169,113,24,-8,-4,1,-38,2,-6,161,38,83,20,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,63,80,175,16,1,1,1,2,4,4,York,2018,55,1,0 kg P,1,28,BT 4-Way MAGIC,CAV4080813,York_2018,CAV4080813,3.902960526,11.07,199.05,78.7,0.395378046
01092V,550,Aug 22-93,ST50PKT0WD9J,ST50GEN01092V,Straw,NA,728,1467,34717,3724,49,6,13,213,266,-12,-6,-4,1,-2,-2,27,72,1,2,1,-2,-4,-5,-26,11,131,29,51,-169,206,0,-8,-4,2,-37,-4,10,180,44,110,23,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,63,81,175,15,1,1,1,2,4,5,York,2018,34,6,30 kg P,1,17,BT 4-Way MAGIC,CAV4080550,York_2018,CAV4080550,3.904043646,11.33,329.37,118.3,0.359170538
0109JB,828,Aug 22-94,ST50PKT0WD9W,ST50GEN0109JB,Straw,NA,538,1165,26645,3860,69,9,17,219,295,-13,-7,-1,5,-2,-3,14,55,1,1,-1,3,1,-5,-12,-2,99,-39,121,15,-40,40,-9,-4,2,-38,4,3,169,40,88,22,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,62,79,171,16,1,1,1,2,4,4,York,2018,33,9,0 kg P,1,17,BT 4-Way MAGIC,CAV4080828,York_2018,CAV4080828,2.063543004,9.96,147,47,0.319727891
0109K3,1449,Aug 22-95,ST50PKT0WDBB,ST50GEN0109K3,Straw,NA,260,835,22257,2411,35,4,17,197,235,-15,-6,-3,-1,-2,-3,13,42,0,6,0,3,-1,-4,-30,-3,97,-26,-71,-83,17,20,-8,-4,2,-40,-2,0,146,34,76,18,1,0,1,2,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,60,77,165,15,1,1,1,2,4,4,York,2018,32,9,30 kg P,1,16,BT 4-Way MAGIC,CAV4081449,York_2018,CAV4081449,4.815468549,11.84,351.28,139.6,0.39740378
0108YS,190,Aug 22-96,ST50PKT0WD14,ST50GEN0108YS,Straw,NA,1487,1500,38220,4317,50,4,13,124,348,-15,-6,-3,11,-2,-3,20,50,1,1,0,2,-3,-1,-30,-7,112,-27,-9,-149,-67,25,-9,-4,2,-37,5,-2,204,46,121,26,1,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,63,81,175,16,1,1,1,2,4,4,York,2018,45,12,30 kg P,1,23,BT 4-Way MAGIC,CAV4080190,York_2018,CAV4080190,4.460526316,12.68,351.64,109.5,0.311398021
0108YN,738,Aug 22-97,ST50PKT0WD10,ST50GEN0108YN,Straw,NA,770,1287,27785,3234,44,5,14,58,301,-12,-3,0,5,-2,-2,17,46,-3,3,2,5,2,-2,-20,-1,97,-8,160,-250,48,8,-9,-4,2,-38,1,-1,174,42,93,21,1,0,1,1,6,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,62,79,171,15,1,1,1,2,4,4,York,2018,46,2,0 kg P,1,23,BT 4-Way MAGIC,CAV4080738,York_2018,CAV4080738,3.051619433,12.66,231.84,94.2,0.4063147
0108YB,274,Aug 22-98,ST50PKT0WD0V,ST50GEN0108YB,Straw,NA,485,1090,16788,5098,47,6,14,171,234,-12,-5,-4,6,-2,-3,14,61,-1,1,0,-7,-3,-9,-35,-12,135,7,-45,19,-175,1,-9,-4,1,-43,0,13,171,38,63,24,1,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,64,81,173,15,1,1,1,2,4,5,York,2018,46,7,0 kg P,1,23,BT 4-Way MAGIC,CAV4080274,York_2018,CAV4080274,2.849807445,9.21,199.17,83.3,0.418235678
0108NC,1350,Aug 22-99,ST50PKT0WCR3,ST50GEN0108NC,Straw,NA,800,759,29416,3133,49,8,11,90,178,-17,-7,-2,-1,-2,-2,21,34,-1,-1,-1,-2,-3,-2,-31,-13,113,-20,11,-97,-189,-11,-9,-4,1,-41,3,7,173,36,97,21,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,62,79,171,14,1,1,1,2,4,4,York,2018,62,4,30 kg P,1,31,BT 4-Way MAGIC,CAV4081350,York_2018,CAV4081350,4.333670715,15.02,259.02,74,0.285692225
0109S0,669,Aug 22-100,ST50PKT0WDLC,ST50GEN0109S0,Straw,NA,64,1022,21713,3078,45,6,14,259,292,-19,-7,-3,2,-2,-2,11,35,1,2,2,6,-1,5,-25,-10,98,15,57,-32,-371,11,-7,-3,2,-39,-3,-5,145,36,74,19,1,0,1,2,6,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,77,166,14,1,1,1,2,4,4,York,2018,11,4,0 kg P,1,6,BT 4-Way MAGIC,CAV4080669,York_2018,CAV4080669,1.864035088,8.88,110.71,37.9,0.342335832
01097W,676,Aug 22-101,ST50PKT0WDBK,ST50GEN01097W,Straw,NA,594,1074,25479,3172,53,6,11,234,274,-13,-3,-4,-1,-2,-2,17,52,-3,4,0,0,1,5,-33,2,122,-43,-109,-222,-165,0,-9,-5,2,-37,2,4,160,37,83,20,1,0,1,2,6,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,14,29,59,76,162,13,1,1,1,1,4,4,York,2018,32,2,30 kg P,1,16,BT 4-Way MAGIC,CAV4080676,York_2018,CAV4080676,5.020242915,11.12,312.7,126.8,0.40550048
0109SV,1228,Aug 22-102,ST50PKT0WDLV,ST50GEN0109SV,Straw,NA,482,1460,29700,3581,73,10,11,208,296,-15,-5,-1,7,-2,-2,13,74,1,0,0,3,-1,-2,-19,5,132,-11,-3,-92,80,13,-11,-3,1,-38,-6,4,169,43,96,22,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,62,79,171,15,1,1,1,2,4,4,York,2018,10,3,0 kg P,1,5,BT 4-Way MAGIC,CAV4081228,York_2018,CAV4081228,0.977214377,5.1,63.89,22.1,0.345907028
0109VZ,1259,Aug 22-103,ST50PKT0WDL7,ST50GEN0109VZ,Straw,NA,490,1333,30405,3579,49,6,12,136,267,-15,-3,-3,6,-2,-2,17,61,1,3,1,5,0,0,-19,-8,107,-4,33,-25,-36,23,-10,-4,1,-34,-8,7,163,40,95,21,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,14,29,59,75,161,14,1,1,1,1,3,4,York,2018,11,8,0 kg P,1,6,BT 4-Way MAGIC,CAV4081259,York_2018,CAV4081259,3.007271468,10.6,191.43,79.4,0.414773024
0108WV,M75-28,Aug 22-104,ST50PKT0WCZZ,ST50GEN0108WV,Straw,NA,409,820,15469,2995,32,3,7,63,113,-12,-9,-3,-1,-1,-2,14,48,2,1,2,2,-2,-3,-17,-8,89,-38,-19,-76,-82,-18,-10,-4,1,-38,-4,2,144,33,57,18,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,5,6,14,29,58,74,160,12,1,1,1,1,3,4,York,2018,48,6,0 kg P,1,24,Maringa_Spica,M75-28,York_2018,M75-28,1.86296534,14.39,179.28,51.8,0.288933512
0108G7,724,Aug 22-105,ST50PKT0WCSM,ST50GEN0108G7,Straw,NA,597,1514,30948,4108,52,5,16,109,318,-12,-5,-2,8,-2,-2,20,51,0,7,1,2,0,-2,-23,-6,127,0,-27,-241,45,-2,-8,-4,2,-38,8,6,185,46,104,25,2,0,1,1,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,81,177,15,1,1,1,2,5,5,York,2018,66,1,0 kg P,1,33,BT 4-Way MAGIC,CAV4080724,York_2018,CAV4080724,4.628289474,7.5,281.55,130.4,0.463150417
0109RW,544,Aug 22-106,ST50PKT0WDL9,ST50GEN0109RW,Straw,NA,287,924,30193,1599,34,3,5,66,198,-12,-8,-3,1,-1,-2,12,27,-2,1,0,0,2,4,-19,1,100,-20,-19,-51,161,-10,-9,-4,1,-33,0,2,138,34,92,16,1,0,1,1,5,2,1,1,1,0,0,0,3,1,1,1,3,2,3,5,5,14,28,56,72,155,12,1,1,1,1,3,3,York,2018,11,6,0 kg P,1,6,BT 4-Way MAGIC,CAV4080544,York_2018,CAV4080544,1.708921694,8.24,120.33,45.4,0.37729577
0109SG,1493,Aug 22-108,ST50PKT0WDLN,ST50GEN0109SG,Straw,NA,238,1116,22707,3917,84,13,14,213,256,-15,-7,-3,0,-2,-3,13,65,3,0,-3,1,-4,-8,-25,-2,145,-15,-40,-234,-174,9,-9,-4,2,-42,2,0,157,38,76,21,2,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,14,29,59,75,162,14,1,1,1,1,4,4,York,2018,10,9,0 kg P,1,5,BT 4-Way MAGIC,CAV4081493,York_2018,CAV4081493,2.153401797,8.17,179.11,65.7,0.36681369
010980,683,Aug 22-109,ST50PKT0WDBP,ST50GEN010980,Straw,NA,345,1085,27412,3033,59,7,14,161,294,-16,-8,-2,2,-2,-3,14,46,0,1,0,-3,-6,-4,-35,-13,95,17,72,-120,125,-16,-8,-4,2,-38,-4,4,157,38,89,20,2,0,1,2,6,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,78,167,13,1,1,1,2,4,4,York,2018,31,12,0 kg P,1,16,BT 4-Way MAGIC,CAV4080683,York_2018,CAV4080683,2.065789474,7.88,154.79,59.7,0.38568383
0108MV,532,Aug 22-110,ST50PKT0WCQV,ST50GEN0108MV,Straw,NA,991,1301,35166,3455,51,6,16,141,273,-12,-3,-1,2,-3,-3,12,42,0,3,-1,-1,-3,-3,-25,-6,151,-65,-49,-159,96,20,-9,-3,4,-41,2,12,189,44,115,23,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,66,84,181,17,1,1,1,2,4,5,York,2018,62,12,30 kg P,1,31,BT 4-Way MAGIC,CAV4080532,York_2018,CAV4080532,4.519736842,13.36,395.3,140.9,0.356438148
0108GT,427,Aug 22-111,ST50PKT0WCSZ,ST50GEN0108GT,Straw,NA,552,603,25424,2585,35,5,9,60,151,-15,-9,-2,-1,-2,-2,9,34,1,1,0,-2,-2,1,-20,-2,96,-3,4,-136,143,13,-9,-5,1,-37,0,5,156,32,84,19,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,78,168,14,1,1,1,2,4,4,York,2018,65,4,30 kg P,1,33,BT 4-Way MAGIC,CAV4080427,York_2018,CAV4080427,4.841430499,14.41,231.4,90.6,0.391529818
010988,1072,Aug 22-112,ST50PKT0WDBT,ST50GEN010988,Straw,NA,382,758,22720,2853,52,7,11,275,212,-15,-4,-2,3,-2,-2,11,47,-1,2,-2,4,-2,-1,-14,-21,98,-37,74,-177,-54,0,-13,-3,2,-38,-2,-2,150,33,76,19,1,0,1,2,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,14,29,59,76,163,13,1,1,1,1,3,4,York,2018,31,8,0 kg P,1,16,BT 4-Way MAGIC,CAV4081072,York_2018,CAV4081072,2.442867036,8.95,134.56,46.1,0.342598098
01098L,236,Aug 22-113,ST50PKT0WDBZ,ST50GEN01098L,Straw,NA,158,1142,24112,3862,73,12,13,222,204,-12,-7,-1,1,-2,-3,15,50,-2,2,2,2,-3,4,-31,-16,147,-56,-64,-109,93,-7,-10,-5,3,-38,2,-2,161,39,82,22,2,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,16,32,63,81,173,14,1,1,1,2,4,4,York,2018,31,3,0 kg P,1,16,BT 4-Way MAGIC,CAV4080236,York_2018,CAV4080236,2.087612323,8.2,197.84,83.9,0.424080065
01098N,676,Aug 22-114,ST50PKT0WDC0,ST50GEN01098N,Straw,NA,218,1046,27435,2847,51,6,11,213,168,-11,-7,-2,3,-2,-3,18,53,-1,5,1,-3,0,-1,-32,-15,83,-26,68,-16,-58,4,-9,-4,1,-34,-1,5,149,37,88,19,1,0,1,2,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,5,5,14,29,58,73,158,13,1,1,1,1,4,4,York,2018,31,2,0 kg P,1,16,BT 4-Way MAGIC,CAV4080676,York_2018,CAV4080676,2.311066127,7.2,159.28,65.1,0.408714214
01077F,1379,Aug 23-5,ST50PKT0WC47,ST50GEN01077F,Straw,NA,508,712,24894,1872,34,3,11,83,253,-13,-5,-1,0,-1,-2,14,20,-1,3,-1,-3,-8,-4,-28,-1,93,-38,-49,54,-139,6,-11,-4,1,-34,-3,-5,151,34,84,17,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,31,61,79,169,14,1,1,1,2,4,4,York,2018,114,11,30 kg P,2,57,BT 4-Way MAGIC,CAV4081379,York_2018,CAV4081379,3.711489089,10.79,282.06,86.6,0.307026874
010795,437,Aug 23-6,ST50PKT0WC0D,ST50GEN010795,Straw,NA,407,1107,25771,2115,28,5,11,94,144,-16,-7,-3,0,-3,-2,12,28,-2,-1,3,3,-4,0,-24,-8,113,-5,70,-113,62,15,-10,-5,3,-40,-7,2,150,38,86,17,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,63,80,173,15,1,1,1,2,3,4,York,2018,112,8,30 kg P,2,56,BT 4-Way MAGIC,CAV4080437,York_2018,CAV4080437,2.998614958,10.61,192.12,71.9,0.374245263
01077M,1192,Aug 23-7,ST50PKT0WC4B,ST50GEN01077M,Straw,NA,433,576,16486,3115,46,7,18,78,182,-19,-4,-3,1,-3,-3,9,46,-2,1,2,-1,2,0,-32,-3,115,-36,-34,-140,60,15,-9,-4,2,-41,3,1,155,32,63,19,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,16,31,63,81,173,15,1,1,1,2,4,4,York,2018,114,8,30 kg P,2,57,BT 4-Way MAGIC,CAV4081192,York_2018,CAV4081192,2.712950139,9.99,158.43,58.7,0.370510636
0108N3,1247,Aug 23-8,ST50PKT0WCQZ,ST50GEN0108N3,Straw,NA,486,530,22226,3024,49,5,13,68,286,-18,-9,-3,1,-3,-2,12,34,0,4,2,4,-1,2,-13,-14,107,-48,6,-44,-22,16,-10,-5,2,-38,1,-8,155,31,76,19,1,0,1,1,6,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,78,169,15,1,1,1,2,4,4,York,2018,62,8,30 kg P,1,31,BT 4-Way MAGIC,CAV4081247,York_2018,CAV4081247,4.001038781,12.16,252.35,88,0.348722013
01088C,1223,Aug 23-9,ST50PKT0WCLP,ST50GEN01088C,Straw,NA,750,1090,45862,3281,36,5,11,64,198,-12,-10,-2,0,-1,-2,21,40,0,1,0,5,-3,-10,-16,4,129,-24,86,-162,343,5,-6,-4,2,-37,-1,0,197,44,147,25,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,33,67,85,184,16,1,1,1,2,4,4,York,2018,75,9,30 kg P,2,38,BT 4-Way MAGIC,CAV4081223,York_2018,CAV4081223,5.757381258,13.64,380.17,120.7,0.317489544
0108QC,882,Aug 23-10,ST50PKT0WCYD,ST50GEN0108QC,Straw,NA,336,530,25433,4251,49,7,14,126,202,-14,-7,-4,3,-2,-3,9,53,-3,3,1,2,-4,-3,-24,0,118,-10,102,7,-86,-6,-8,-4,2,-39,-6,3,167,32,85,23,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,61,78,170,14,1,1,1,2,4,4,York,2018,55,7,0 kg P,1,28,BT 4-Way MAGIC,CAV4080882,York_2018,CAV4080882,2.7936457,9.04,147.51,60.1,0.407430005
01092Q,756,Aug 23-11,ST50PKT0WD9G,ST50GEN01092Q,Straw,NA,1050,752,28648,3153,62,7,14,300,292,-10,-7,-4,3,-2,-3,18,49,-2,2,0,1,-4,0,-21,2,123,-19,35,32,218,-4,-11,-3,2,-40,-3,-1,177,35,94,21,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,2,3,6,6,15,31,62,80,171,15,1,1,1,2,4,4,York,2018,34,8,30 kg P,1,17,BT 4-Way MAGIC,CAV4080756,York_2018,CAV4080756,3.75865651,12.75,203.81,60.6,0.297335754
010889,1158,Aug 23-12,ST50PKT0WCLN,ST50GEN010889,Straw,NA,393,488,22375,1875,33,6,12,52,74,-14,-7,-3,-1,-2,-3,16,25,0,1,1,-4,3,5,-28,-10,113,7,120,-67,108,-9,-7,-5,1,-38,1,4,146,30,78,16,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,61,78,168,14,1,1,1,2,4,4,York,2018,75,10,30 kg P,2,38,BT 4-Way MAGIC,CAV4081158,York_2018,CAV4081158,5.490131579,15.95,258.16,77.8,0.301363496
0108YD,1233,Aug 23-13,ST50PKT0WD0W,ST50GEN0108YD,Straw,NA,590,1100,21255,3475,51,8,13,119,196,-12,-7,0,2,-2,-2,19,59,0,3,1,4,-1,3,-32,-9,117,-28,23,-97,-184,7,-7,-5,2,-38,3,-3,165,39,76,21,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,63,81,173,15,1,1,1,2,4,4,York,2018,46,6,0 kg P,1,23,BT 4-Way MAGIC,CAV4081233,York_2018,CAV4081233,2.100449294,8.79,220.81,79.7,0.360943798
01077C,742,Aug 23-14,ST50PKT0WC46,ST50GEN01077C,Straw,NA,846,945,31536,1970,26,3,11,112,177,-15,-5,-2,0,-2,-2,13,38,-3,4,2,3,-3,2,-34,-13,135,-13,55,-22,-62,27,-9,-4,1,-35,-6,-3,167,38,103,18,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,62,79,171,16,1,1,1,2,4,4,York,2018,114,12,30 kg P,2,57,BT 4-Way MAGIC,CAV4080742,York_2018,CAV4080742,3.116776316,10.15,209.18,78.2,0.373840711
0109V4,583,Aug 23-15,ST50PKT0WDKR,ST50GEN0109V4,Straw,NA,983,1375,29740,3403,53,6,14,245,349,-16,-7,-4,2,-2,-3,23,54,2,1,0,0,0,0,-29,-6,108,-75,-21,-222,-11,5,-7,-4,2,-40,-3,-3,182,43,99,22,2,0,1,2,7,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,64,82,176,15,1,1,1,2,4,4,York,2018,12,9,30 kg P,1,6,BT 4-Way MAGIC,CAV4080583,York_2018,CAV4080583,4.024390244,11.27,276.47,89.9,0.325170905
0108J7,1325,Aug 23-16,ST50PKT0WCRJ,ST50GEN0108J7,Straw,NA,83,1232,24602,2863,21,3,12,56,133,-10,-7,-3,1,-2,-3,12,33,1,2,2,-3,4,1,-27,-14,99,-27,40,-41,-155,-6,-7,-4,1,-37,1,-4,149,40,83,19,1,0,1,1,4,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,15,30,60,77,166,13,1,1,1,2,4,4,York,2018,61,5,0 kg P,1,31,BT 4-Way MAGIC,CAV4081325,York_2018,CAV4081325,3.043546366,11.55,119.95,43.8,0.365152147
01088F,M76-116,Aug 23-17,ST50PKT0WCLQ,ST50GEN01088F,Straw,NA,723,771,24495,3553,26,3,11,53,140,-16,-9,2,1,-2,-2,11,32,1,1,1,2,-5,-2,-30,-7,119,40,16,-143,-257,15,-8,-4,2,-40,-8,3,173,36,85,22,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,3,3,6,6,15,31,63,80,170,15,1,1,1,2,4,4,York,2018,75,8,30 kg P,2,38,Maringa_Spica,M76-116,York_2018,M76-116,4.575831025,15.35,257.7,62,0.240589833
0108PJ,410,Aug 23-18,ST50PKT0WCXX,ST50GEN0108PJ,Straw,NA,740,683,31527,3998,62,9,17,249,203,-15,-7,-4,1,-2,-3,14,46,2,-1,-1,0,0,-1,-12,-2,127,-15,77,-133,31,22,-9,-5,2,-39,-2,4,182,35,103,24,2,0,1,2,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,16,32,65,82,177,16,1,1,1,2,4,4,York,2018,56,8,30 kg P,1,28,BT 4-Way MAGIC,CAV4080410,York_2018,CAV4080410,4.203601108,12.86,154.63,62.3,0.402897239
01088T,857,Aug 23-19,ST50PKT0WCLX,ST50GEN01088T,Straw,NA,571,828,24753,2588,29,3,13,81,214,-16,-7,-2,0,-2,-2,10,26,0,1,1,2,-3,1,-25,-6,92,-85,-3,-71,-162,8,-8,-4,1,-38,-5,-4,157,35,83,19,1,0,1,1,5,2,1,1,1,0,0,0,3,2,2,1,3,2,3,6,6,14,30,60,76,164,14,1,1,1,2,3,3,York,2018,75,2,30 kg P,2,38,BT 4-Way MAGIC,CAV4080857,York_2018,CAV4080857,4.741902834,12.42,260.75,93.2,0.357430489
0109RF,1285,Aug 23-20,ST50PKT0WDN9,ST50GEN0109RF,Straw,NA,226,803,24562,3068,60,9,15,180,251,-16,-6,-1,3,-2,-3,11,49,-2,0,0,3,2,-7,-25,4,149,-29,10,-22,-63,15,-9,-3,2,-41,2,1,157,35,84,20,2,0,1,2,6,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,31,63,80,173,15,1,1,1,2,4,4,York,2018,14,2,0 kg P,1,7,BT 4-Way MAGIC,CAV4081285,York_2018,CAV4081285,1.479419703,6.98,120.01,43.1,0.359136739
