reading_id,SUBSAMPLE_ID,STEM_ID,GENPRINT,PConcentration,P_Error1s
2019-08-23-031,ST50GEN01088P,ST50PKT0WCLV,1194,541,170
2019-08-23-032,ST50GEN01079H,ST50PKT0WC0K,1548,253,148
2019-08-23-033,ST50GEN0108NF,ST50PKT0WCR4,1547,603,179
2019-08-23-035,ST50GEN0108YX,ST50PKT0WD16,588,441,182
2019-08-23-036,ST50GEN01078V,ST50PKT0WC05,118,305,153
2019-08-23-037,ST50GEN0108WZ,ST50PKT0WD01,M73-13,288,171
2019-08-23-038,ST50GEN010793,ST50PKT0WC0C,M75-28,663,173
2019-08-23-039,ST50GEN01078B,ST50PKT0WC4R,1301,876,173
2019-08-23-040,ST50GEN0109TM,ST50PKT0WDNN,1176,591,162
2019-08-23-041,ST50GEN01077R,ST50PKT0WC4D,1445,202,141
2019-08-23-042,ST50GEN0107RH,ST50PKT0WCCY,1217,571,177
2019-08-23-043,ST50GEN0109V2,ST50PKT0WDKQ,1274,711,189
2019-08-23-044,ST50GEN0108XW,ST50PKT0WD0K,665,368,166
2019-08-23-045,ST50GEN01088W,ST50PKT0WCLY,177,71,150
2019-08-23-046,ST50GEN01098D,ST50PKT0WDBW,1163,256,158
2019-08-23-047,ST50GEN0108NT,ST50PKT0WCRD,839,936,176
2019-08-23-048,ST50GEN0109R5,ST50PKT0WDN5,531,451,165
2019-08-23-049,ST50GEN0108XH,ST50PKT0WD0C,1265,677,169
2019-08-23-050,ST50GEN0108YV,ST50PKT0WD15,1133,1007,175
2019-08-23-051,ST50GEN0108XK,ST50PKT0WD0D,1212,526,172
2019-08-23-052,ST50GEN01077K,ST50PKT0WC49,1301,900,168
2019-08-23-053,ST50GEN0109V0,ST50PKT0WDKP,1306,588,150
2019-08-23-054,ST50GEN0108NY,ST50PKT0WCRG,438,653,169
2019-08-26-004,ST50GEN0108FN,ST50PKT0WCSB,1217,525,150
2019-08-26-005,ST50GEN0108MZ,ST50PKT0WCQX,1255,739,171
2019-08-26-006,ST50GEN01097Y,ST50PKT0WDBL,349,764,174
2019-08-26-007,ST50GEN01097R,ST50PKT0WDBH,399,803,166
2019-08-26-008,ST50GEN0108WJ,ST50PKT0WCZT,808,832,183
2019-08-26-009,ST50GEN0108ZC,ST50PKT0WD31,1532,379,160
2019-08-26-010,ST50GEN0108N5,ST50PKT0WCR0,438,508,145
2019-08-26-011,ST50GEN0109VS,ST50PKT0WDL4,1306,395,157
2019-08-26-012,ST50GEN01079K,ST50PKT0WC0L,1610,404,153
2019-08-26-013,ST50GEN0108WS,ST50PKT0WCZY,1212,367,170
2019-08-26-014,ST50GEN0109K9,ST50PKT0WDBF,1163,177,151
2019-08-26-015,ST50GEN0108YG,ST50PKT0WD0X,462,249,164
2019-08-26-016,ST50GEN0109HY,ST50PKT0WD9M,1602,1410,191
2019-08-26-017,ST50GEN01077T,ST50PKT0WC4F,1172,738,161
2019-08-26-018,ST50GEN0108YZ,ST50PKT0WD17,1160,1045,186
2019-08-26-019,ST50GEN010982,ST50PKT0WDBQ,417,662,158
2019-08-26-020,ST50GEN0108XF,ST50PKT0WD0B,1229,710,181
2019-08-26-021,ST50GEN0108WG,ST50PKT0WCZS,1148,760,195
2019-08-26-022,ST50GEN010791,ST50PKT0WC0B,349,473,158
2019-08-26-023,ST50GEN0108QM,ST50PKT0WCYJ,598,549,157
2019-08-26-024,ST50GEN0108FV,ST50PKT0WCSF,1646,257,157
2019-08-26-025,ST50GEN0109VL,ST50PKT0WDKZ,589,66,150
2019-08-26-026,ST50GEN0108Y8,ST50PKT0WD0T,1051,443,153
2019-08-26-027,ST50GEN0109TY,ST50PKT0WDKN,1312,477,161
2019-08-26-028,ST50GEN0109JX,ST50PKT0WDB7,683,1555,221
2019-08-26-029,ST50GEN0109W1,ST50PKT0WDL8,945,509,144
2019-08-26-031,ST50GEN0108XY,ST50PKT0WD0L,1187,905,201
2019-08-26-032,ST50GEN01078J,ST50PKT0WC4V,1445,316,182
2019-08-26-033,ST50GEN0109SL,ST50PKT0WDLQ,949,2285,228
2019-08-26-034,ST50GEN0108NP,ST50PKT0WCRB,1528,412,145
2019-08-26-035,ST50GEN010780,ST50PKT0WC4J,737,674,175
2019-08-26-036,ST50GEN01079M,ST50PKT0WC0M,139,729,180
2019-08-26-037,ST50GEN0109VV,ST50PKT0WDL5,1274,35,163
2019-08-26-038,ST50GEN0108XT,ST50PKT0WD0J,484,881,165
2019-08-26-039,ST50GEN0108XR,ST50PKT0WD0H,M73-13,781,193
2019-08-26-040,ST50GEN0107R3,ST50PKT0WCCR,718,766,174
2019-08-26-041,ST50GEN010797,ST50PKT0WC0F,1495,464,161
2019-08-26-042,ST50GEN0108WQ,ST50PKT0WCZX,1265,427,146
2019-08-26-043,ST50GEN0108X9,ST50PKT0WD08,808,861,199
2019-08-26-044,ST50GEN0108X3,ST50PKT0WD03,665,701,162
2019-08-26-045,ST50GEN010799,ST50PKT0WC0G,747,947,190
2019-08-26-046,ST50GEN0109SB,ST50PKT0WDLL,1035,324,153
2019-08-26-047,ST50GEN010782,ST50PKT0WC4K,118,981,200
2019-08-26-049,ST50GEN0109kd,ST50PKT0WDBG,1500,3102,125
2019-08-26-050,ST50GEN0109k4,ST50PKT0WDBB,1449,2252,111
2019-08-26-051,ST50GEN0109w2,ST50PKT0WDL8,945,2807,120
2019-08-26-052,ST50GEN0109jh,ST50PKT0WD9Y,253,2489,115
2019-08-26-053,ST50GEN0109JP,ST50PKT0WDB1,1064,3044,124
2019-08-26-054,ST50GEN0109JC,ST50PKT0WD9W,828,3159,124
2019-08-26-055,ST50GEN0109SH,ST50PKT0WDLN,1493,2088,109
2019-08-26-056,ST50GEN010985,ST50PKT0WDBR,886,2340,113
2019-08-26-057,ST50GEN0109JM,ST50PKT0WDB0,177,2854,120
2019-08-26-058,ST50GEN01092K,ST50PKT0WD7R,WESTONIA,2787,121
2019-08-26-059,ST50GEN0108YK,ST50PKT0WD0Y,662,3179,127
2019-08-26-060,ST50GEN0108GG,ST50PKT0WCSS,1217,3339,128
2019-08-26-061,ST50GEN0109K8,ST50PKT0WDBD,1633,3109,126
2019-08-26-062,ST50GEN01097S,ST50PKT0WDBH,399,3453,128
2019-08-26-064,ST50GEN0109TZ,ST50PKT0WDKN,1312,2927,122
2019-08-26-065,ST50GEN01097Z,ST50PKT0WDBL,349,4527,145
2019-08-26-066,ST50GEN0108Y5,ST50PKT0WD0R,588,2659,119
2019-08-26-067,ST50GEN0108JG,ST50PKT0WCRM,787,2901,124
2019-08-26-068,ST50GEN0109VW,ST50PKT0WDL5,1274,2355,112
2019-08-26-069,ST50GEN0108J6,ST50PKT0WCRH,1443,3070,124
2019-08-26-070,ST50GEN0108FR,ST50PKT0WCSC,1201,3277,129
2019-08-26-071,ST50GEN0109VM,ST50PKT0WDKZ,589,2682,119
2019-08-26-072,ST50GEN0109K6,ST50PKT0WDBC,1072,3304,128
2019-08-26-073,ST50GEN0108GQ,ST50PKT0WCSX,1262,2666,117
2019-08-26-074,ST50GEN0109S1,ST50PKT0WDLC,669,2249,111
2019-08-27-004,ST50GEN0108FK,ST50PKT0WCWH,464,3163,128
2019-08-27-005,ST50GEN0108G6,ST50PKT0WCSL,1175,3293,128
2019-08-27-006,ST50GEN0108WW,ST50PKT0WCZZ,M75-28,2379,115
2019-08-27-007,ST50GEN01092W,ST50PKT0WD9J,550,3823,135
2019-08-27-008,ST50GEN0108FT,ST50PKT0WCSD,434,3199,126
2019-08-27-009,ST50GEN0108X2,ST50PKT0WD02,484,2920,123
2019-08-27-010,ST50GEN0109V5,ST50PKT0WDKR,583,2775,121
2019-08-27-011,ST50GEN0108WK,ST50PKT0WCZT,808,3366,131
2019-08-27-012,ST50GEN0108XZ,ST50PKT0WD0L,1187,4219,140
2019-08-27-013,ST50GEN01097V,ST50PKT0WDBJ,236,2379,112
2019-08-27-014,ST50GEN0108GB,ST50PKT0WCSQ,464,3711,133
2019-08-27-015,ST50GEN01078C,ST50PKT0WC4R,1301,2783,121
2019-08-27-016,ST50GEN0108NS,ST50PKT0WCRC,1255,3672,132
2019-08-27-017,ST50GEN0108NS,ST50PKT0WCRC,1255,3686,133
2019-08-27-018,ST50GEN0108YR,ST50PKT0WD11,982,2708,120
2019-08-27-019,ST50GEN0108FP,ST50PKT0WCSB,1217,2349,116
2019-08-27-020,ST50GEN0108XD,ST50PKT0WD09,1232,3754,134
2019-08-27-021,ST50GEN0109V1,ST50PKT0WDKP,1306,3548,131
2019-08-27-022,ST50GEN0108N0,ST50PKT0WCQX,1255,3327,128
2019-08-27-023,ST50GEN0108XS,ST50PKT0WD0H,M73-13,4289,140
2019-08-27-024,ST50GEN0108XX,ST50PKT0WD0K,665,2471,118
2019-08-27-025,ST50GEN0109HX,ST50PKT0WD9L,1064,2810,119
2019-08-27-026,ST50GEN0108G4,ST50PKT0WCSK,166,4038,138
2019-08-27-027,ST50GEN0108GJ,ST50PKT0WCST,1201,3056,122
2019-08-27-028,ST50GEN0109JT,ST50PKT0WDB3,219,3481,128
2019-08-27-029,ST50GEN01092M,ST50PKT0WD7S,1658,3163,125
2019-08-27-030,ST50GEN0109JK,ST50PKT0WD9Z,550,3424,128
2019-08-27-031,ST50GEN0108N2,ST50PKT0WCQY,839,3522,132
2019-08-27-032,ST50GEN0109J3,ST50PKT0WD9P,1018,3940,136
2019-08-27-033,ST50GEN01098C,ST50PKT0WDBV,1633,3131,123
2019-08-27-034,ST50GEN01098K,ST50PKT0WDBY,399,2799,121
2019-08-27-035,ST50GEN0108QJ,ST50PKT0WCYG,777,3587,132
2019-08-27-036,ST50GEN0108MY,ST50PKT0WCQW,1528,2794,120
2019-08-27-037,ST50GEN0108FY,ST50PKT0WCSG,1262,3183,125
2019-08-27-038,ST50GEN0108XQ,ST50PKT0WD0G,958,4197,139
2019-08-27-039,ST50GEN0109JR,ST50PKT0WDB2,1602,609,459
2019-08-27-040,ST50GEN0108GN,ST50PKT0WCSW,1646,2576,117
2019-08-27-041,ST50GEN0108GZ,ST50PKT0WCT1,1175,2969,123
