SCANNING_CODE,P Concentration,S Concentration,K Concentration,Ca Concentration,Ti Concentration,V Concentration,Cr Concentration,Mn Concentration,Fe Concentration,Co Concentration,Ni Concentration,Cu Concentration,Zn Concentration,As Concentration,Se Concentration,Rb Concentration,Sr Concentration,Y Concentration,Zr Concentration,Nb Concentration,Mo Concentration,Ag Concentration,Cd Concentration,Sn Concentration,Sb Concentration,Ba Concentration,La Concentration,Ce Concentration,Pr Concentration,Nd Concentration,Ta Concentration,W Concentration,Hg Concentration,Pb Concentration,Bi Concentration,Th Concentration,U Concentration,P Error1s,S Error1s,K Error1s,Ca Error1s,Ti Error1s,V Error1s,Cr Error1s,Mn Error1s,Fe Error1s,Co Error1s,Ni Error1s,Cu Error1s,Zn Error1s,As Error1s,Se Error1s,Rb Error1s,Sr Error1s,Y Error1s,Zr Error1s,Nb Error1s,Mo Error1s,Ag Error1s,Cd Error1s,Sn Error1s,Sb Error1s,Ba Error1s,La Error1s,Ce Error1s,Pr Error1s,Nd Error1s,Ta Error1s,W Error1s,Hg Error1s,Pb Error1s,Bi Error1s,Th Error1s,U Error1s
Aug 22-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug 27-62,NA,NA,NA,NA,-9180,-2251,-1292,-2248,-790,NA,66,-222,-115,-3,37,65,-11,37,-6,-8,-11,14,-45,-90,87,-92,-1241,-742,458,5278,168,-185,-53,-52,-8,-18,-20,NA,NA,NA,NA,4905,4457,1576,954,76,NA,384,321,19,16,71,54,1,38,0,4,20,34,34,82,82,225,426,865,1043,2585,247,75,14,20,3,1,2
Aug 27-63,2373,885,4216,240,8,-2,-14,60,15,-13,-11,-4,25,-1,-2,6,5,0,0,0,-2,-2,-1,-24,-3,25,-6,35,-47,149,-3,-12,-4,-2,-16,-3,0,112,23,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-64,2413,1313,26341,24024,2966,87,59,665,27982,-23,27,128,405,115,1,123,221,27,252,17,5,5,51,12,32,504,25,65,-377,-279,28,13,9,1400,-5,12,8,484,76,124,102,17,2,2,5,104,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,47,62,137,12,3,2,7,2,3,3
Aug 27-65,1785,1110,3352,253,3,-2,-13,36,23,-15,-12,-2,30,-1,-2,5,6,-1,-1,0,-2,0,-3,-21,-3,17,-8,-13,-23,138,-1,-13,-5,-2,-18,-5,-2,105,26,17,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,35,44,94,6,1,0,0,1,1,1
Aug 27-66,3496,962,5041,285,6,-2,-14,58,29,-13,-13,-5,18,-1,-2,6,6,-1,-1,0,0,0,1,-22,3,5,2,-39,-89,-50,-14,-12,-5,-2,-17,-5,-2,130,24,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,1,3,3,8,16,33,41,90,5,1,0,0,1,1,1
Aug 27-67,4199,987,5099,320,4,-3,-14,71,42,-15,-12,-6,24,-1,-2,9,6,-1,-1,0,0,-1,-1,-25,-4,9,-3,-26,-71,44,4,-12,-4,-2,-13,-4,-3,139,24,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,32,41,88,6,1,0,0,1,1,1
Aug 27-68,3880,1037,5013,259,3,-2,-14,68,49,-13,-12,-6,47,-1,-2,9,4,0,-1,-1,-2,-4,-2,-25,-1,15,6,-1,-25,153,-8,-13,-5,-2,-20,-5,3,138,25,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,2
Aug 27-69,3286,806,4805,335,4,-2,-14,39,25,-13,-12,2,20,-1,-2,7,5,1,-1,-1,-2,1,0,-22,-6,6,-22,5,-3,65,4,-12,-4,-2,-18,-3,1,128,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,2
Aug 27-70,6576,1120,7263,409,1,-3,-14,44,39,-14,-12,-5,45,-1,-2,13,5,-1,0,-1,-1,-2,-2,-31,-6,17,-7,-4,9,70,-4,-13,-5,-2,-16,-5,0,170,26,26,6,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-71,2850,937,4952,389,4,-3,-15,58,26,-14,-11,-1,31,-1,-2,9,7,-1,-1,-1,0,0,0,-28,-4,4,-22,7,-70,37,-13,-11,-5,-2,-19,-3,-2,123,24,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-72,2652,783,4444,261,3,-3,-13,39,20,-15,-11,-6,12,-1,-2,7,8,-1,0,0,-1,-1,-3,-19,-1,29,-14,-12,-72,81,-6,-12,-4,-2,-17,-4,-1,117,22,19,5,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-73,2961,826,4524,377,1,-3,-14,49,20,-13,-11,-4,22,-1,-2,8,7,-1,-1,0,-2,-1,0,-31,-6,0,-3,74,-41,40,-3,-11,-5,-1,-19,-3,-2,124,23,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,90,6,1,0,0,1,1,1
Aug 27-74,5059,1199,5368,355,1,-2,-13,44,39,-15,-12,-3,38,-1,-2,10,7,0,-1,0,-1,-3,-4,-24,-2,10,-9,13,-25,70,-3,-13,-4,-1,-18,-2,-1,154,27,22,6,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,1,1,1,2,3,3,8,18,35,45,96,6,1,0,0,1,2,2
Aug 27-75,403,1094,31536,3580,34,5,9,50,155,-14,-9,-1,0,-1,-2,15,49,-1,-3,1,-1,-5,-2,-13,12,129,-25,71,-124,-240,22,-10,-3,1,-38,-7,-1,171,40,103,23,1,0,1,1,5,2,1,1,1,0,0,0,4,2,2,1,3,3,3,6,6,15,32,64,81,174,16,1,1,1,2,4,4
Aug 27-76,2538,904,4203,267,2,-3,-14,27,21,-14,-12,-3,18,-1,-3,5,6,-1,0,0,1,-3,1,-28,-6,14,-46,16,-32,-31,-14,-11,-5,-2,-19,-3,-2,117,24,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 27-77,3108,816,4971,315,5,-2,-14,52,29,-13,-13,-1,22,-1,-2,8,6,-1,0,-1,0,-2,-2,-25,-7,23,-44,30,-44,41,-11,-13,-4,-2,-19,-2,0,127,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,2
Aug 27-78,2133,1267,26656,24377,2935,90,63,665,28337,-53,31,130,420,127,2,124,232,26,262,17,8,5,51,12,33,528,37,128,-309,-277,8,7,14,1423,-1,12,-1,477,74,124,102,16,2,2,4,105,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,47,62,137,11,3,2,7,2,3,3
Aug 27-79,3431,753,4598,302,3,-3,-14,23,13,-14,-11,-3,12,-1,-2,7,3,0,-1,0,0,-2,-2,-26,-7,4,-13,-1,4,41,1,-12,-4,-2,-18,-4,-2,129,22,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,90,6,1,0,0,1,1,1
Aug 27-80,2901,859,4493,285,2,-3,-14,23,26,-13,-12,-1,22,-1,-2,4,4,0,0,-1,-2,-1,1,-23,-4,10,-22,-8,-73,-67,1,-13,-5,-2,-19,-2,1,122,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,2
Aug 27-81,2979,891,3864,295,4,-2,-13,35,29,-13,-12,0,15,-1,-2,10,4,-1,-1,0,0,-2,0,-29,-4,15,17,36,-40,191,-7,-13,-5,-2,-17,-4,-3,123,23,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-82,2804,857,4198,296,2,-3,-15,35,30,-14,-11,-1,24,-1,-2,7,7,0,-1,-1,0,-1,-1,-28,-2,4,-29,-15,-68,-37,-3,-12,-5,-1,-19,-2,-1,120,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-83,3214,897,4166,236,1,-3,-14,25,22,-13,-12,-2,20,-1,-2,9,4,-1,-2,0,-1,0,-3,-28,-4,19,-34,-14,-105,2,-6,-12,-5,-1,-19,-2,2,126,24,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 27-84,4294,995,5412,306,4,-2,-14,58,42,-14,-11,-4,18,-1,-2,10,7,-2,0,0,0,0,-2,-28,-4,8,4,50,-58,95,-5,-13,-4,-1,-17,-2,-2,141,25,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-85,3239,861,4567,249,3,-3,-14,26,33,-13,-10,1,25,-1,-2,7,4,-1,0,-1,-1,-3,0,-22,-10,18,-22,22,-79,94,0,-12,-4,-1,-18,-5,-1,127,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-86,3608,707,4613,304,1,-3,-15,28,26,-14,-12,-4,15,-1,-2,6,4,-1,-1,0,1,0,-2,-28,-11,4,-34,9,-103,-55,-6,-11,-5,-2,-19,-3,-3,132,22,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-87,4134,884,4283,260,2,-3,-14,39,28,-14,-12,-3,20,-1,-2,9,3,0,0,0,-2,1,-1,-25,-2,11,2,19,-33,13,3,-10,-5,-2,-18,-4,0,139,24,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 27-88,2580,725,4154,274,3,-3,-14,29,24,-16,-12,-2,11,-1,-2,6,1,0,-1,-1,-2,-1,1,-27,0,16,-19,-37,15,122,1,-12,-4,-2,-17,-5,0,115,21,19,5,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,32,42,89,6,1,0,0,1,1,1
Aug 27-89,3252,754,4563,286,4,-2,-13,22,21,-13,-13,0,23,-1,-2,5,2,-1,-1,0,-1,-1,-2,-16,-2,8,-13,28,19,223,-6,-12,-5,-2,-17,-1,-1,127,22,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-90,3376,931,4486,338,4,-3,-15,36,23,-14,-12,-1,24,-1,-2,9,4,-1,-1,0,0,-2,-2,-27,-3,22,-25,-10,-112,34,-14,-11,-5,-2,-17,-2,-2,129,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 27-91,3279,946,4736,234,3,-2,-14,45,20,-14,-12,-6,10,-1,-2,7,4,-1,0,-1,0,-3,-1,-30,-3,4,-14,-71,-16,-67,-16,-11,-5,-1,-18,-2,-2,126,24,20,5,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,5,1,0,0,1,1,1
Aug 27-92,4417,947,5162,263,4,-3,-14,38,36,-15,-12,-6,19,-1,-2,5,5,0,0,0,-2,0,-2,-28,-3,18,-35,9,-34,231,-6,-12,-4,-1,-17,-5,4,142,24,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,2
Aug 27-93,3022,757,4420,304,4,-2,-14,48,17,-13,-11,-2,24,-1,-2,8,6,0,0,-1,0,-1,-2,-29,-4,15,-16,2,-71,-8,1,-11,-5,-2,-20,-3,-1,124,22,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-94,3304,872,4497,331,4,-2,-14,45,32,-13,-12,-5,16,-1,-3,7,6,-1,-1,-2,0,-3,-3,-23,2,19,-35,8,-69,21,-8,-12,-5,-1,-19,0,0,129,24,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,6,1,0,0,1,1,1
Aug 27-95,3068,933,4702,249,4,-3,-13,53,23,-15,-11,-4,22,-1,-2,9,7,0,0,-1,-1,-2,-1,-25,-2,13,-27,-20,-54,8,-12,-13,-4,-1,-20,-2,-1,125,24,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,5,1,0,0,1,1,1
Aug 27-96,4296,828,5612,310,2,-2,-15,44,26,-15,-12,-5,17,-1,-2,6,6,0,-1,0,-2,0,-2,-20,-2,27,-18,26,-71,277,-5,-12,-5,-2,-18,-4,-2,141,23,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,1
Aug 27-97,2831,800,4846,335,4,-3,-13,61,14,-15,-12,-3,19,-1,-2,8,6,-1,-1,-1,0,-3,-1,-26,-8,16,-18,-11,40,292,-5,-12,-5,-2,-18,-1,-2,120,22,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,6,1,0,0,1,1,1
Aug 27-98,3126,943,4452,379,5,-2,-14,77,22,-13,-12,-3,24,-1,-2,8,6,-1,-1,0,1,-1,-2,-26,-6,13,-18,-2,-123,54,-9,-11,-5,-2,-18,-2,0,126,24,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,2
Aug 27-99,2922,824,4415,299,7,-3,-14,41,25,-14,-12,-6,13,-1,-2,10,4,0,1,0,-2,0,-3,-23,-1,43,4,26,4,141,-5,-12,-4,-1,-17,-4,-3,120,22,19,5,1,0,0,1,2,1,1,0,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-100,3146,1019,3971,297,1,-3,-13,31,21,-13,-12,0,27,-1,-2,7,5,0,0,0,-2,0,2,-26,-6,28,-6,-21,-36,107,3,-13,-4,-2,-20,-3,1,125,25,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,6,1,0,0,1,1,2
Aug 27-101,2749,855,4589,309,4,-2,-15,42,20,-15,-12,-3,22,-1,-2,9,6,0,0,0,0,-1,-1,-29,-8,9,13,-8,-99,-44,0,-13,-4,-2,-20,-5,-1,120,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,6,1,0,0,1,1,1
Aug 27-102,2714,784,4301,349,3,-3,-14,31,22,-14,-12,-2,24,-1,-2,5,2,-1,0,-1,1,-1,-2,-25,-5,15,-6,47,-77,90,-11,-11,-5,-1,-19,-1,-1,119,22,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 27-103,3891,807,4622,272,3,-3,-14,40,24,-12,-12,-2,16,-1,-2,9,2,0,0,0,0,-2,-4,-20,-7,14,-31,-2,-53,-49,-5,-12,-4,-2,-16,-2,-3,135,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-104,2668,896,4453,329,5,-2,-14,59,22,-13,-11,-4,26,-1,-2,6,6,-1,0,0,-2,1,0,-35,-4,14,2,24,-107,69,-21,-12,-4,-2,-18,-4,-1,119,24,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,5,1,0,0,1,1,1
Aug 27-105,2549,892,4210,302,6,-3,-14,52,18,-13,-13,-4,22,-1,-2,7,3,-2,0,-1,0,1,0,-25,-1,23,9,-18,-99,73,-5,-12,-4,-2,-17,-3,2,115,23,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 27-106,2265,783,4025,278,7,-2,-13,65,13,-14,-11,-2,26,-1,-2,5,4,-1,-1,0,0,-1,-1,-26,-2,37,-6,57,5,212,-9,-12,-5,-1,-20,-3,0,113,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,44,94,6,1,0,0,1,1,2
Aug 27-107,3666,924,3943,286,2,-3,-14,29,21,-14,-13,-3,18,-1,-2,9,4,-1,-1,0,-2,-3,-2,-24,4,23,5,15,-15,56,-9,-12,-5,-2,-19,-3,0,132,24,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 27-108,3542,745,4467,228,2,-3,-14,32,18,-15,-12,-2,11,-1,-2,5,5,-1,0,-1,-2,-3,-1,-28,-5,20,-14,21,22,18,-16,-12,-4,-2,-19,-5,1,130,22,20,5,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,5,1,0,0,1,1,2
Aug 27-109,3219,1003,4575,301,2,-3,-14,66,31,-13,-13,-1,29,-1,-2,9,5,0,-1,0,-1,-2,-4,-22,-3,7,9,36,-65,128,-9,-12,-4,-2,-19,-2,-2,126,25,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 27-110,3182,932,4445,238,1,-3,-15,50,28,-14,-12,-4,15,-1,-3,9,3,-1,0,-1,-2,-2,-3,-26,-4,19,-41,-17,-101,57,-8,-11,-4,-1,-18,-5,2,125,24,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,42,91,6,1,0,0,1,1,2
Aug 27-111,3414,894,5282,358,2,-3,-14,48,27,-13,-12,-5,18,-1,-2,12,6,-1,-1,0,-3,-3,-4,-24,-8,16,-23,-15,-14,-19,-16,-12,-5,-1,-20,-1,-1,131,24,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,93,5,1,0,0,1,1,1
Aug 27-112,2629,865,4460,295,3,-2,-14,34,23,-13,-11,-1,27,-1,-2,6,2,1,0,0,-2,-3,-2,-18,2,19,-6,-18,-83,28,-5,-12,-5,-2,-17,-3,-1,117,23,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,6,1,0,0,1,1,1
Aug 27-113,3003,800,4448,353,4,-3,-14,22,28,-13,-12,-2,14,-1,-2,12,5,-1,0,0,1,0,-1,-23,-7,20,-15,15,-34,83,-7,-10,-5,-2,-18,-3,-1,123,23,20,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 27-114,4627,1099,5898,289,2,-3,-13,61,43,-14,-11,-4,29,-1,-2,14,5,0,-1,0,-2,-1,-1,-26,-3,11,0,25,67,200,-16,-12,-5,-2,-18,-1,-2,147,26,23,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,5,1,0,0,1,1,1
Aug 27-115,3582,860,4973,246,3,-3,-15,33,26,-14,-13,-5,24,-1,-2,8,4,-1,0,-1,-1,-3,-3,-29,0,16,6,26,-86,60,-11,-13,-4,-2,-18,-3,2,132,23,21,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,2
Aug 27-116,1532,1243,27053,24595,2965,86,60,681,28527,-16,35,133,423,124,2,123,229,32,259,17,7,7,52,8,27,516,2,128,-336,-245,34,7,15,1427,-2,19,1,472,75,126,103,17,2,2,5,105,17,2,3,4,5,1,1,5,3,5,1,2,1,2,4,4,13,23,47,62,137,12,3,2,7,2,3,3
Aug 29-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aug 29-2,62,-24,-5,-11,3,1,-1,3,9,-2,-3,0,0,1,0,0,-1,0,1,-1,-2,1,-1,-1,1,-3,-15,2,-108,-26,-4,0,-1,-1,1,-2,4,116,21,9,2,1,0,1,1,3,2,1,1,1,0,0,0,1,1,1,1,1,1,1,3,3,8,19,39,50,111,6,1,1,1,1,2,2
Aug 29-3,1730,1238,27075,24515,2938,92,58,677,27923,-40,31,135,413,111,3,123,231,25,262,18,5,4,54,12,30,514,-2,93,-410,-463,22,10,10,1419,0,16,-1,479,75,127,103,17,2,2,5,103,17,2,3,4,5,1,1,5,3,5,1,2,2,2,4,4,13,23,47,62,137,11,3,2,7,2,3,3
Aug 29-4,2633,776,4087,253,5,-2,-13,21,16,-16,-12,-3,20,-1,-2,5,4,-1,-2,-1,-3,0,-3,-30,-8,12,-16,-7,-122,8,-5,-13,-5,-2,-18,-5,-1,118,22,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-5,2854,855,4014,305,3,-3,-14,43,17,-14,-12,-4,21,-1,-2,6,3,0,1,-1,-1,-3,-3,-23,-3,20,6,45,-65,94,-8,-13,-4,-2,-17,-5,1,121,23,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-6,3954,764,4532,262,2,-3,-14,62,39,-15,-13,-5,18,-1,-2,6,3,-2,-1,-1,2,-2,-2,-31,-2,21,-34,-24,-104,92,-14,-12,-5,-3,-17,-3,0,136,22,20,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,5,1,0,0,1,1,1
Aug 29-7,3453,948,5387,314,1,-3,-14,44,37,-14,-13,-7,18,-1,-3,12,6,-1,-1,0,-2,-1,0,-30,-3,17,2,-34,-25,69,-13,-12,-5,-2,-18,-5,1,130,24,22,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-8,4968,985,5571,291,2,-3,-14,78,29,-14,-12,-4,26,-1,-2,14,4,-2,-1,0,-1,0,-1,-22,-1,16,-40,60,-9,214,-15,-11,-5,-2,-17,-3,0,151,25,23,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,91,5,1,0,0,1,1,1
Aug 29-9,2769,1046,4070,384,6,-3,-14,60,21,-15,-12,-2,33,-1,-2,7,7,-1,0,-1,-2,-1,-2,-25,-4,19,-16,9,6,-38,2,-12,-5,-2,-18,-4,1,121,25,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,6,1,0,0,1,1,1
Aug 29-10,3361,826,5420,327,6,-2,-14,29,22,-14,-12,0,19,-1,-2,8,4,-2,0,-1,-2,-3,0,-26,-4,4,-11,31,-2,-11,-7,-11,-5,-2,-15,-4,0,129,23,22,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,5,1,0,0,1,1,1
Aug 29-11,2520,908,4256,236,6,-2,-15,63,14,-14,-12,-4,25,-1,-3,6,3,-1,-1,-1,-2,-2,-3,-25,-8,11,-38,-89,-99,85,-16,-11,-5,-2,-17,-3,-1,115,23,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,5,1,0,0,1,1,1
Aug 29-12,3031,794,4124,284,4,-2,-14,50,17,-14,-11,-3,24,-1,-2,5,6,-1,0,-1,0,-1,0,-26,-1,13,-17,-46,-91,-280,-10,-12,-4,-3,-15,-2,-1,122,22,19,5,1,0,0,1,2,1,1,0,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,5,1,0,0,1,1,1
Aug 29-13,2699,809,4974,300,5,-2,-15,41,13,-14,-12,-2,19,-1,-3,6,9,-1,-1,0,-2,-3,-2,-28,-5,18,9,38,-41,-10,-13,-12,-5,-1,-18,-4,0,119,23,21,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
Aug 29-14,3879,976,3922,234,4,-3,-14,32,30,-15,-10,0,19,-1,-2,8,1,-1,-1,-1,0,-1,-2,-24,-6,8,-20,-28,-9,105,-7,-12,-6,-1,-16,-2,-1,134,24,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,33,42,91,6,1,0,0,1,1,1
Aug 29-15,2717,719,4178,393,3,-3,-14,27,21,-15,-12,-2,27,-1,-2,5,6,-1,-1,0,0,-1,-2,-24,-6,18,0,-97,7,-3,-2,-11,-4,-2,-19,-3,-2,119,22,19,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,17,34,43,92,6,1,0,0,1,1,1
Aug 29-16,2723,672,3779,261,1,-3,-14,19,18,-15,-12,-2,11,-1,-2,6,1,-1,-1,-1,-3,-3,-2,-26,-5,12,-5,36,-84,202,-4,-11,-4,-2,-18,1,0,118,21,18,5,1,0,0,1,2,1,1,1,0,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,41,89,6,1,0,0,1,1,1
Aug 29-17,2098,722,3807,232,6,-2,-12,46,109,-13,-10,-3,18,-1,-2,10,3,-1,0,0,-1,-1,2,-25,-3,31,21,8,-73,127,-9,-13,-4,-2,-16,-3,-2,110,22,18,5,1,0,0,1,3,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,89,5,1,0,0,1,1,1
Aug 29-18,2318,820,3926,292,3,-2,-14,25,20,-14,-11,-2,20,-1,-2,4,4,-1,0,0,0,-1,-3,-24,-10,16,-30,3,-48,163,-10,-11,-5,-2,-16,-3,1,113,23,18,5,1,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0,1,1,2,3,3,8,16,33,42,90,5,1,0,0,1,1,1
