STEM_ID,SUBSAMPLE.x,straw_pconc,PAP.x,yield.x,SUBSAMPLE.y,grain_pconc,PAP.y,yield.y
ST50PKT0WCSL,Straw,419,0 kg P,4.267881242,Grain,3293,0 kg P,4.267881242
ST50PKT0WDB1,Straw,331,0 kg P,2.879554656,Grain,3044,0 kg P,2.879554656
ST50PKT0WCYL,Straw,534,0 kg P,3.902960526,Grain,2901,0 kg P,3.902960526
ST50PKT0WD9J,Straw,728,30 kg P,3.904043646,Grain,3823,30 kg P,3.904043646
ST50PKT0WD9W,Straw,538,0 kg P,2.063543004,Grain,3159,0 kg P,2.063543004
ST50PKT0WDBB,Straw,260,30 kg P,4.815468549,Grain,2252,30 kg P,4.815468549
ST50PKT0WD14,Straw,1487,30 kg P,4.460526316,Grain,6576,30 kg P,4.460526316
ST50PKT0WD10,Straw,770,0 kg P,3.051619433,Grain,3214,0 kg P,3.051619433
ST50PKT0WD0V,Straw,485,0 kg P,2.849807445,Grain,2749,0 kg P,2.849807445
ST50PKT0WCR3,Straw,800,30 kg P,4.333670715,Grain,3891,30 kg P,4.333670715
ST50PKT0WDLC,Straw,64,0 kg P,1.864035088,Grain,2249,0 kg P,1.864035088
ST50PKT0WDBK,Straw,594,30 kg P,5.020242915,Grain,3182,30 kg P,5.020242915
ST50PKT0WDLV,Straw,482,0 kg P,0.977214377,Grain,1785,0 kg P,0.977214377
ST50PKT0WDL7,Straw,490,0 kg P,3.007271468,Grain,2961,0 kg P,3.007271468
ST50PKT0WCZZ,Straw,409,0 kg P,1.86296534,Grain,2379,0 kg P,1.86296534
ST50PKT0WCSM,Straw,597,0 kg P,4.628289474,Grain,2778,0 kg P,4.628289474
ST50PKT0WDL9,Straw,287,0 kg P,1.708921694,Grain,2538,0 kg P,1.708921694
ST50PKT0WDLN,Straw,238,0 kg P,2.153401797,Grain,2088,0 kg P,2.153401797
ST50PKT0WDBP,Straw,345,0 kg P,2.065789474,Grain,2831,0 kg P,2.065789474
ST50PKT0WCQV,Straw,991,30 kg P,4.519736842,Grain,4296,30 kg P,4.519736842
ST50PKT0WCSZ,Straw,552,30 kg P,4.841430499,Grain,3542,30 kg P,4.841430499
ST50PKT0WDBT,Straw,382,0 kg P,2.442867036,Grain,2265,0 kg P,2.442867036
ST50PKT0WDBZ,Straw,158,0 kg P,2.087612323,Grain,2549,0 kg P,2.087612323
ST50PKT0WDC0,Straw,218,0 kg P,2.311066127,Grain,3219,0 kg P,2.311066127
ST50PKT0WC47,Straw,508,30 kg P,3.711489089,Grain,3521,30 kg P,3.711489089
ST50PKT0WC0D,Straw,407,30 kg P,2.998614958,Grain,2669,30 kg P,2.998614958
ST50PKT0WC4B,Straw,433,30 kg P,2.712950139,Grain,3746,30 kg P,2.712950139
ST50PKT0WCQZ,Straw,486,30 kg P,4.001038781,Grain,2870,30 kg P,4.001038781
ST50PKT0WCLP,Straw,750,30 kg P,5.757381258,Grain,3815,30 kg P,5.757381258
ST50PKT0WCYD,Straw,336,0 kg P,2.7936457,Grain,3310,0 kg P,2.7936457
ST50PKT0WD9G,Straw,1050,30 kg P,3.75865651,Grain,4562,30 kg P,3.75865651
ST50PKT0WCLN,Straw,393,30 kg P,5.490131579,Grain,2723,30 kg P,5.490131579
ST50PKT0WD0W,Straw,590,0 kg P,2.100449294,Grain,3342,0 kg P,2.100449294
ST50PKT0WC46,Straw,846,30 kg P,3.116776316,Grain,3184,30 kg P,3.116776316
ST50PKT0WDKR,Straw,983,30 kg P,4.024390244,Grain,2775,30 kg P,4.024390244
ST50PKT0WCRJ,Straw,83,0 kg P,3.043546366,Grain,2915,0 kg P,3.043546366
ST50PKT0WCLQ,Straw,723,30 kg P,4.575831025,Grain,2590,30 kg P,4.575831025
ST50PKT0WCXX,Straw,740,30 kg P,4.203601108,Grain,3954,30 kg P,4.203601108
ST50PKT0WCLX,Straw,571,30 kg P,4.741902834,Grain,3590,30 kg P,4.741902834
ST50PKT0WDN9,Straw,226,0 kg P,1.479419703,Grain,2533,0 kg P,1.479419703
ST50PKT0WD09,Straw,817,30 kg P,4.518092105,Grain,3754,30 kg P,4.518092105
ST50PKT0WCRK,Straw,274,0 kg P,3.211875843,Grain,2900,0 kg P,3.211875843
ST50PKT0WC04,Straw,205,0 kg P,2.940283401,Grain,3376,0 kg P,2.940283401
ST50PKT0WDNM,Straw,816,30 kg P,3.672978177,Grain,3259,30 kg P,3.672978177
ST50PKT0WCYB,Straw,516,0 kg P,2.888318357,Grain,3318,0 kg P,2.888318357
ST50PKT0WC03,Straw,300,0 kg P,2.506418485,Grain,1329,0 kg P,2.506418485
ST50PKT0WCY2,Straw,306,30 kg P,3.727535302,Grain,3879,30 kg P,3.727535302
ST50PKT0WCSR,Straw,242,30 kg P,3.867137356,Grain,3934,30 kg P,3.867137356
ST50PKT0WD04,Straw,430,0 kg P,3.292763158,Grain,2972,0 kg P,3.292763158
ST50PKT0WC4P,Straw,120,0 kg P,2.812901155,Grain,2343,0 kg P,2.812901155
ST50PKT0WCLV,Straw,541,30 kg P,5.337381916,Grain,3225,30 kg P,5.337381916
ST50PKT0WC0K,Straw,253,30 kg P,3.778883184,Grain,2580,30 kg P,3.778883184
ST50PKT0WCR4,Straw,603,30 kg P,4.49775353,Grain,3180,30 kg P,4.49775353
ST50PKT0WD16,Straw,441,30 kg P,3.784539474,Grain,3453,30 kg P,3.784539474
ST50PKT0WC05,Straw,305,0 kg P,3.690789474,Grain,2629,0 kg P,3.690789474
ST50PKT0WD01,Straw,288,0 kg P,2.591093117,Grain,1801,0 kg P,2.591093117
ST50PKT0WC0C,Straw,663,30 kg P,2.533697047,Grain,2826,30 kg P,2.533697047
ST50PKT0WC4R,Straw,876,0 kg P,1.816431322,Grain,2783,0 kg P,1.816431322
ST50PKT0WDNN,Straw,591,30 kg P,4.003759398,Grain,2671,30 kg P,4.003759398
ST50PKT0WC4D,Straw,202,30 kg P,3.778883184,Grain,3060,30 kg P,3.778883184
ST50PKT0WCCY,Straw,571,30 kg P,4.43488529,Grain,4194,30 kg P,4.43488529
ST50PKT0WDKQ,Straw,711,30 kg P,3.105263158,Grain,3911,30 kg P,3.105263158
ST50PKT0WD0K,Straw,368,30 kg P,4.644062078,Grain,2471,30 kg P,4.644062078
ST50PKT0WCLY,Straw,71,30 kg P,3.743421053,Grain,2525,30 kg P,3.743421053
ST50PKT0WDBW,Straw,256,0 kg P,1.479460847,Grain,2769,0 kg P,1.479460847
ST50PKT0WCRD,Straw,936,0 kg P,2.727856226,Grain,2633,0 kg P,2.727856226
ST50PKT0WDN5,Straw,451,0 kg P,2.325096277,Grain,2142,0 kg P,2.325096277
ST50PKT0WD0C,Straw,677,30 kg P,4.823407202,Grain,2629,30 kg P,4.823407202
ST50PKT0WD15,Straw,1007,30 kg P,4.768934531,Grain,3880,30 kg P,4.768934531
ST50PKT0WD0D,Straw,526,30 kg P,4.49775353,Grain,4076,30 kg P,4.49775353
ST50PKT0WC49,Straw,900,30 kg P,3.551026958,Grain,3544,30 kg P,3.551026958
ST50PKT0WDKP,Straw,588,30 kg P,3.721116816,Grain,3548,30 kg P,3.721116816
ST50PKT0WCRG,Straw,653,0 kg P,2.483953787,Grain,3432,0 kg P,2.483953787
ST50PKT0WCSB,Straw,525,0 kg P,1.998355263,Grain,2349,0 kg P,1.998355263
ST50PKT0WCQX,Straw,739,30 kg P,3.411184211,Grain,3327,30 kg P,3.411184211
ST50PKT0WDBL,Straw,764,30 kg P,4.203947368,Grain,4527,30 kg P,4.203947368
ST50PKT0WDBH,Straw,803,30 kg P,4.009784076,Grain,3453,30 kg P,4.009784076
ST50PKT0WCZT,Straw,832,0 kg P,4.650192555,Grain,3366,0 kg P,4.650192555
ST50PKT0WD31,Straw,379,30 kg P,4.237804878,Grain,3363,30 kg P,4.237804878
ST50PKT0WCR0,Straw,508,30 kg P,4.250641849,Grain,2996,30 kg P,4.250641849
ST50PKT0WDL4,Straw,395,0 kg P,1.745827985,Grain,2266,0 kg P,1.745827985
ST50PKT0WC0L,Straw,404,30 kg P,4.261133603,Grain,2720,30 kg P,4.261133603
ST50PKT0WCZY,Straw,367,0 kg P,2.734274711,Grain,3022,0 kg P,2.734274711
ST50PKT0WDBF,Straw,177,30 kg P,3.955391528,Grain,2922,30 kg P,3.955391528
ST50PKT0WD0X,Straw,249,0 kg P,2.363721805,Grain,2804,0 kg P,2.363721805
ST50PKT0WD9M,Straw,1410,30 kg P,4.481707317,Grain,4968,30 kg P,4.481707317
ST50PKT0WC4F,Straw,738,30 kg P,3.737468672,Grain,3431,30 kg P,3.737468672
ST50PKT0WD17,Straw,1045,30 kg P,4.30198973,Grain,4365,30 kg P,4.30198973
ST50PKT0WDBQ,Straw,662,0 kg P,1.508344031,Grain,2668,0 kg P,1.508344031
ST50PKT0WD0B,Straw,710,30 kg P,3.54139923,Grain,3304,30 kg P,3.54139923
ST50PKT0WCZS,Straw,760,0 kg P,3.758223684,Grain,4417,0 kg P,3.758223684
ST50PKT0WC0B,Straw,473,30 kg P,2.646381579,Grain,4134,30 kg P,2.646381579
ST50PKT0WCYJ,Straw,549,0 kg P,2.35237484,Grain,3146,0 kg P,2.35237484
ST50PKT0WCSF,Straw,257,0 kg P,2.772785623,Grain,2714,0 kg P,2.772785623
ST50PKT0WDKZ,Straw,66,30 kg P,4.859986505,Grain,2682,30 kg P,4.859986505
ST50PKT0WD0T,Straw,443,0 kg P,2.57098338,Grain,3068,0 kg P,2.57098338
ST50PKT0WDKN,Straw,477,30 kg P,4.120065789,Grain,2927,30 kg P,4.120065789
ST50PKT0WDB7,Straw,1555,30 kg P,4.623355263,Grain,3414,30 kg P,4.623355263
