TRUNC_ID,GENPRINT,SCANNING_CODE,STEM_ID,SUBSAMPLE_ID,SUBSAMPLE,Remarks
0108QC,882,Aug 23-10,ST50PKT0WCYD,ST50GEN0108QC,Straw,NA
01092Q,756,Aug 23-11,ST50PKT0WD9G,ST50GEN01092Q,Straw,NA
010889,1158,Aug 23-12,ST50PKT0WCLN,ST50GEN010889,Straw,NA
0108YD,1233,Aug 23-13,ST50PKT0WD0W,ST50GEN0108YD,Straw,NA
01077C,742,Aug 23-14,ST50PKT0WC46,ST50GEN01077C,Straw,NA
0109V4,583,Aug 23-15,ST50PKT0WDKR,ST50GEN0109V4,Straw,NA
0108J7,1325,Aug 23-16,ST50PKT0WCRJ,ST50GEN0108J7,Straw,NA
01088F,M76-116,Aug 23-17,ST50PKT0WCLQ,ST50GEN01088F,Straw,NA
0108PJ,410,Aug 23-18,ST50PKT0WCXX,ST50GEN0108PJ,Straw,NA
01088T,857,Aug 23-19,ST50PKT0WCLX,ST50GEN01088T,Straw,NA
0109RF,1285,Aug 23-20,ST50PKT0WDN9,ST50GEN0109RF,Straw,NA
0108XC,1232,Aug 23-21,ST50PKT0WD09,ST50GEN0108XC,Straw,NA
0108J9,1350,Aug 23-22,ST50PKT0WCRK,ST50GEN0108J9,Straw,NA
01078S,737,Aug 23-23,ST50PKT0WC04,ST50GEN01078S,Straw,NA
0109TK,531,Aug 23-24,ST50PKT0WDNM,ST50GEN0109TK,Straw,NA
0108Q7,408,Aug 23-25,ST50PKT0WCYB,ST50GEN0108Q7,Straw,NA
01078Q,M76-79,Aug 23-26,ST50PKT0WC03,ST50GEN01078Q,Straw,NA
0108PV,598,Aug 23-27,ST50PKT0WCY2,ST50GEN0108PV,Straw,NA
0108GC,1260,Aug 23-28,ST50PKT0WCSR,ST50GEN0108GC,Straw,NA
0108X5,1187,Aug 23-29,ST50PKT0WD04,ST50GEN0108X5,Straw,NA
010786,1379,Aug 23-30,ST50PKT0WC4P,ST50GEN010786,Straw,NA
01088P,1194,Aug 23-31,ST50PKT0WCLV,ST50GEN01088P,Straw,NA
01079H,1548,Aug 23-32,ST50PKT0WC0K,ST50GEN01079H,Straw,NA
0108NF,1547,Aug 23-33,ST50PKT0WCR4,ST50GEN0108NF,Straw,NA
0108YX,588,Aug 23-35,ST50PKT0WD16,ST50GEN0108YX,Straw,NA
01078V,118,Aug 23-36,ST50PKT0WC05,ST50GEN01078V,Straw,NA
0108WZ,M73-13,Aug 23-37,ST50PKT0WD01,ST50GEN0108WZ,Straw,NA
010793,M75-28,Aug 23-38,ST50PKT0WC0C,ST50GEN010793,Straw,NA
01078B,1301,Aug 23-39,ST50PKT0WC4R,ST50GEN01078B,Straw,NA
0109TM,1176,Aug 23-40,ST50PKT0WDNN,ST50GEN0109TM,Straw,NA
01077R,1445,Aug 23-41,ST50PKT0WC4D,ST50GEN01077R,Straw,NA
0107RH,1217,Aug 23-42,ST50PKT0WCCY,ST50GEN0107RH,Straw,NA
0109V2,1274,Aug 23-43,ST50PKT0WDKQ,ST50GEN0109V2,Straw,NA
0108XW,665,Aug 23-44,ST50PKT0WD0K,ST50GEN0108XW,Straw,NA
01088W,177,Aug 23-45,ST50PKT0WCLY,ST50GEN01088W,Straw,NA
01098D,1163,Aug 23-46,ST50PKT0WDBW,ST50GEN01098D,Straw,NA
0108NT,839,Aug 23-47,ST50PKT0WCRD,ST50GEN0108NT,Straw,NA
0109R5,531,Aug 23-48,ST50PKT0WDN5,ST50GEN0109R5,Straw,NA
0108XH,1265,Aug 23-49,ST50PKT0WD0C,ST50GEN0108XH,Straw,NA
0108YV,1133,Aug 23-50,ST50PKT0WD15,ST50GEN0108YV,Straw,NA
0108XK,1212,Aug 23-51,ST50PKT0WD0D,ST50GEN0108XK,Straw,NA
01077K,1301,Aug 23-52,ST50PKT0WC49,ST50GEN01077K,Straw,NA
0109V0,1306,Aug 23-53,ST50PKT0WDKP,ST50GEN0109V0,Straw,NA
0108NY,438,Aug 23-54,ST50PKT0WCRG,ST50GEN0108NY,Straw,NA
0108FN,1217,Aug 26-4,ST50PKT0WCSB,ST50GEN0108FN,Straw,NA
0108MZ,1255,Aug 26-5,ST50PKT0WCQX,ST50GEN0108MZ,Straw,NA
01097Y,349,Aug 26-6,ST50PKT0WDBL,ST50GEN01097Y,Straw,NA
01097R,399,Aug 26-7,ST50PKT0WDBH,ST50GEN01097R,Straw,NA
0108WJ,808,Aug 26-8,ST50PKT0WCZT,ST50GEN0108WJ,Straw,NA
0108ZC,1532,Aug 26-9,ST50PKT0WD31,ST50GEN0108ZC,Straw,NA
0108N5,438,Aug 26-10,ST50PKT0WCR0,ST50GEN0108N5,Straw,NA
0109VS,1306,Aug 26-11,ST50PKT0WDL4,ST50GEN0109VS,Straw,NA
01079K,1610,Aug 26-12,ST50PKT0WC0L,ST50GEN01079K,Straw,NA
0108WS,1212,Aug 26-13,ST50PKT0WCZY,ST50GEN0108WS,Straw,NA
0109K9,1163,Aug 26-14,ST50PKT0WDBF,ST50GEN0109K9,Straw,NA
0108YG,462,Aug 26-15,ST50PKT0WD0X,ST50GEN0108YG,Straw,NA
0109HY,1602,Aug 26-16,ST50PKT0WD9M,ST50GEN0109HY,Straw,NA
01077T,1172,Aug 26-17,ST50PKT0WC4F,ST50GEN01077T,Straw,NA
0108YZ,1160,Aug 26-18,ST50PKT0WD17,ST50GEN0108YZ,Straw,NA
010982,417,Aug 26-19,ST50PKT0WDBQ,ST50GEN010982,Straw,NA
0108XF,1229,Aug 26-20,ST50PKT0WD0B,ST50GEN0108XF,Straw,NA
0108WG,1148,Aug 26-21,ST50PKT0WCZS,ST50GEN0108WG,Straw,NA
010791,349,Aug 26-22,ST50PKT0WC0B,ST50GEN010791,Straw,NA
0108QM,598,Aug 26-23,ST50PKT0WCYJ,ST50GEN0108QM,Straw,NA
0108FV,1646,Aug 26-24,ST50PKT0WCSF,ST50GEN0108FV,Straw,NA
0109VL,589,Aug 26-25,ST50PKT0WDKZ,ST50GEN0109VL,Straw,NA
0108Y8,1051,Aug 26-26,ST50PKT0WD0T,ST50GEN0108Y8,Straw,NA
