STEM_ID,SITE,YEAR,RUN,RANGE,PAP,BLOCK,RUNPAIR,SET,GENOTYPE,TRIAL,GEN,yield,biomass,sample_weight,grain_g,harvest_index
ST50PKT0WD9V,York,2018,33,10,0 kg P,1,17,BT 4-Way MAGIC,CAV4081658,York_2018,CAV4081658,1.243421053,6.03,78.01,24.4,0.312780413
ST50PKT0WD9T,York,2018,33,11,0 kg P,1,17,MAGIC Parents,WESTONIA,York_2018,WESTONIA,2.382862644,8.7,181.23,73.5,0.405561993
ST50PKT0WD9S,York,2018,33,12,0 kg P,1,17,BT 4-Way MAGIC,CAV4081442,York_2018,CAV4081442,1.802631579,9.23,197.42,76.2,0.385979131
ST50PKT0WD9P,York,2018,34,1,30 kg P,1,17,BT 4-Way MAGIC,CAV4081018,York_2018,CAV4081018,4.273026316,11.02,295.74,115.6,0.390883884
ST50PKT0WD9N,York,2018,34,2,30 kg P,1,17,BT 4-Way MAGIC,CAV4080219,York_2018,CAV4080219,4.043522267,14.14,288.67,101.4,0.351266152
ST50PKT0WD9M,York,2018,34,3,30 kg P,1,17,BT 4-Way MAGIC,CAV4081602,York_2018,CAV4081602,4.481707317,10.91,304.49,99.5,0.32677592
ST50PKT0WD9L,York,2018,34,4,30 kg P,1,17,BT 4-Way MAGIC,CAV4081064,York_2018,CAV4081064,4.078947368,13.3,260.71,87,0.333704116
ST50PKT0WD9K,York,2018,34,5,30 kg P,1,17,BT 4-Way MAGIC,CAV4080177,York_2018,CAV4080177,4.805764411,16.74,296.52,91.1,0.307230541
ST50PKT0WD9J,York,2018,34,6,30 kg P,1,17,BT 4-Way MAGIC,CAV4080550,York_2018,CAV4080550,3.904043646,11.33,329.37,118.3,0.359170538
ST50PKT0WD9H,York,2018,34,7,30 kg P,1,17,BT 4-Way MAGIC,CAV4080253,York_2018,CAV4080253,4.231386393,15.35,238.55,86.8,0.363865018
ST50PKT0WD9G,York,2018,34,8,30 kg P,1,17,BT 4-Way MAGIC,CAV4080756,York_2018,CAV4080756,3.75865651,12.75,203.81,60.6,0.297335754
ST50PKT0WD9F,York,2018,34,9,30 kg P,1,17,BT 4-Way MAGIC,CAV4080828,York_2018,CAV4080828,3.644094994,13.46,270.45,79.1,0.292475504
ST50PKT0WD7S,York,2018,34,10,30 kg P,1,17,BT 4-Way MAGIC,CAV4081658,York_2018,CAV4081658,3.075657895,11.89,144.63,35.9,0.248219595
ST50PKT0WD7R,York,2018,34,11,30 kg P,1,17,MAGIC Parents,WESTONIA,York_2018,WESTONIA,5.56322208,12.63,262.26,95.4,0.363761153
ST50PKT0WD7Q,York,2018,34,12,30 kg P,1,17,BT 4-Way MAGIC,CAV4081442,York_2018,CAV4081442,3.828947368,11.93,207.36,93.7,0.451871142
ST50PKT0WD31,York,2018,45,3,30 kg P,1,23,BT 4-Way MAGIC,CAV4081532,York_2018,CAV4081532,4.237804878,12.47,152.73,57.1,0.373862372
ST50PKT0WD2Z,York,2018,45,5,30 kg P,1,23,BT 4-Way MAGIC,CAV4080462,York_2018,CAV4080462,4.035087719,13.99,200.38,72.2,0.360315401
ST50PKT0WD1B,York,2018,45,6,30 kg P,1,23,BT 4-Way MAGIC,CAV4081233,York_2018,CAV4081233,3.201219512,10.14,158.68,52.2,0.328963953
ST50PKT0WD17,York,2018,45,9,30 kg P,1,23,BT 4-Way MAGIC,CAV4081160,York_2018,CAV4081160,4.30198973,11.85,130.53,48.8,0.373860415
ST50PKT0WD16,York,2018,45,10,30 kg P,1,23,BT 4-Way MAGIC,CAV4080588,York_2018,CAV4080588,3.784539474,13.03,169.39,60.7,0.358344648
ST50PKT0WD15,York,2018,45,11,30 kg P,1,23,BT 4-Way MAGIC,CAV4081133,York_2018,CAV4081133,4.768934531,13.83,199.89,64.5,0.322677473
ST50PKT0WD14,York,2018,45,12,30 kg P,1,23,BT 4-Way MAGIC,CAV4080190,York_2018,CAV4080190,4.460526316,12.68,351.64,109.5,0.311398021
ST50PKT0WD11,York,2018,46,1,0 kg P,1,23,BT 4-Way MAGIC,CAV4080982,York_2018,CAV4080982,3.018092105,6.81,197.64,72.1,0.364804695
ST50PKT0WD10,York,2018,46,2,0 kg P,1,23,BT 4-Way MAGIC,CAV4080738,York_2018,CAV4080738,3.051619433,12.66,231.84,94.2,0.4063147
ST50PKT0WD0Y,York,2018,46,4,0 kg P,1,23,BT 4-Way MAGIC,CAV4080662,York_2018,CAV4080662,2.503373819,12.28,235.93,94.5,0.400542534
ST50PKT0WD0X,York,2018,46,5,0 kg P,1,23,BT 4-Way MAGIC,CAV4080462,York_2018,CAV4080462,2.363721805,10.4,174.2,67.4,0.386911596
ST50PKT0WD0W,York,2018,46,6,0 kg P,1,23,BT 4-Way MAGIC,CAV4081233,York_2018,CAV4081233,2.100449294,8.79,220.81,79.7,0.360943798
ST50PKT0WD0V,York,2018,46,7,0 kg P,1,23,BT 4-Way MAGIC,CAV4080274,York_2018,CAV4080274,2.849807445,9.21,199.17,83.3,0.418235678
ST50PKT0WD0T,York,2018,46,8,0 kg P,1,23,BT 4-Way MAGIC,CAV4081051,York_2018,CAV4081051,2.57098338,9.33,200.04,80.1,0.400419916
ST50PKT0WD0R,York,2018,46,10,0 kg P,1,23,BT 4-Way MAGIC,CAV4080588,York_2018,CAV4080588,2.547697368,12.84,168.27,61.3,0.364295478
ST50PKT0WD0L,York,2018,47,1,30 kg P,1,24,BT 4-Way MAGIC,CAV4081187,York_2018,CAV4081187,5.131578947,12.45,344.98,119.3,0.345817149
ST50PKT0WD0K,York,2018,47,2,30 kg P,1,24,BT 4-Way MAGIC,CAV4080665,York_2018,CAV4080665,4.644062078,13.74,394.4,156.7,0.397312373
